goal_id,goal_name,predicted_steps,empirical_steps_success,success_rate
0,Z0,4.12449312210083,4.5,1.0
1,Z1,3.14776873588562,1.0,1.0
2,X0,3.263731002807617,3.1,1.0
3,X1,2.776455879211426,3.4615384615384617,0.975
4,Z0_X0,3.7825541496276855,6.305555555555555,0.9
5,X0_Z0,3.3186614513397217,5.9,1.0
6,weakZ0_Z0,3.567631721496582,nan,0.0
