goal_id,goal_name,predicted_steps,empirical_steps_success,success_rate
0,Z0,3.2637972831726074,4.1,1.0
1,X0,3.3969790935516357,4.7,1.0
2,Y0,3.206892728805542,1.0,1.0
3,Z0_X0,5.47157621383667,6.3076923076923075,0.975
4,X0_Z0,4.851640701293945,7.435897435897436,0.975
5,Y0_X1,3.2520570755004883,3.95,1.0
6,Z0_X0_Y0,4.937814712524414,10.193548387096774,0.775
