goal_id,goal_name,action:Z,action:X,action:Y,pair:Z:0,pair:Z:1,pair:X:0,pair:X:1,pair:Y:0,pair:Y:1,normalized_steps,success_rate
0,Z0,0.7012195121951219,0.29878048780487804,0.0,0.24390243902439024,0.4573170731707317,0.16463414634146342,0.13414634146341464,0.0,0.0,0.2733333333333333,1.0
1,X0,0.5,0.5,0.0,0.25,0.25,0.2127659574468085,0.2872340425531915,0.0,0.0,0.31333333333333335,1.0
2,Y0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666666666666667,1.0
3,Z0_X0,0.5019157088122606,0.49808429118773945,0.0,0.26053639846743293,0.2413793103448276,0.23371647509578544,0.26436781609195403,0.0,0.0,0.435,0.975
4,X0_Z0,0.49836065573770494,0.3704918032786885,0.13114754098360656,0.21967213114754097,0.2786885245901639,0.19344262295081968,0.17704918032786884,0.13114754098360656,0.0,0.5083333333333333,0.975
5,Y0_X1,0.2468354430379747,0.5,0.25316455696202533,0.1518987341772152,0.0949367088607595,0.2468354430379747,0.25316455696202533,0.25316455696202533,0.0,0.26333333333333336,1.0
6,Z0_X0_Y0,0.42572062084257206,0.4124168514412417,0.16186252771618626,0.20620842572062084,0.21951219512195122,0.2261640798226164,0.18625277161862527,0.06873614190687362,0.09312638580931264,0.7516666666666667,0.775
