learner_interface,observations,valid_permutation_action_set,learned_group_order,orbit_size,geometry_provenance
quantum-token-only,iid nine-valued token,0,0,1,none
external-register-exposed,iid quantum token plus hand-coded register state,1,9,9,explicit classical DFA/register
