1.071538225360761376e-01,1.114522566779244661e-01,1.175928768805649394e-01,1.034694504144918620e-01,1.034694504144918620e-01,1.249616211237334906e-01,1.046975744550199539e-01,1.083819465766042434e-01,1.188210009210930312e-01
1.075101277656590887e-01,1.106263633530694956e-01,1.205983172327828035e-01,1.274540355250856905e-01,1.056403864132128417e-01,1.068868806481770017e-01,1.062636335306949148e-01,1.149890931754440626e-01,1.000311623558741009e-01
1.123287671232876678e-01,1.117199391171993933e-01,1.086757990867579932e-01,9.771689497716895545e-02,1.080669710806697048e-01,1.226788432267884310e-01,1.202435312024353053e-01,1.092846270928462676e-01,1.092846270928462676e-01
1.119783848694085870e-01,1.209846892824977538e-01,1.017712398679075370e-01,1.065746022215550842e-01,1.059741819273491426e-01,1.101771239867907481e-01,1.191834283998799149e-01,1.077754428099669815e-01,1.155809066346442510e-01
1.185486393493900559e-01,1.066624960900844493e-01,1.022833906787613406e-01,1.066624960900844493e-01,1.197998123240538032e-01,1.179230528620581753e-01,1.079136690647481966e-01,1.097904285267438246e-01,1.104160150140756913e-01
1.199999999999999956e-01,1.073684210526315852e-01,1.212030075187969930e-01,1.157894736842105254e-01,1.049624060150375904e-01,1.218045112781954847e-01,1.115789473684210553e-01,1.037593984962406068e-01,9.353383458646616355e-02
1.115919629057186974e-01,9.613601236476043699e-02,1.233384853168469908e-01,1.196290571870169961e-01,9.922720247295208074e-02,1.072642967542503795e-01,1.115919629057186974e-01,1.047913446676970589e-01,1.264296754250386345e-01
1.035125893689773091e-01,1.271370842399751344e-01,1.109729561703450412e-01,1.028908921355300016e-01,1.091078644700031047e-01,1.153248368044762218e-01,1.122163506372396702e-01,1.066210755362138607e-01,1.122163506372396702e-01
9.630565203662772022e-02,1.064098515945689910e-01,1.127249763182822800e-01,1.045153141774550071e-01,9.630565203662772022e-02,1.240922008209662114e-01,1.177770760972529224e-01,1.310388380170508238e-01,1.108304389011682961e-01
1.094098883572567765e-01,1.157894736842105254e-01,9.856459330143541031e-02,1.100478468899521584e-01,1.081339712918660267e-01,1.272727272727272596e-01,1.036682615629984094e-01,1.119617224880382761e-01,1.151515151515151575e-01
1.139944392956441094e-01,1.238801359283286940e-01,1.034908866234167391e-01,1.071980228606734670e-01,1.139944392956441094e-01,1.084337349397590383e-01,1.139944392956441094e-01,1.127587272165585380e-01,1.022551745443311677e-01
1.132623426911907039e-01,9.390125847047434138e-02,1.190706679574056182e-01,1.055179090029041561e-01,1.261697321716682696e-01,1.274604711197160345e-01,1.042271700548564051e-01,9.583736689254598873e-02,1.145530816392384688e-01
1.191776421458400209e-01,1.088981689688403448e-01,1.198201092194025041e-01,1.056858336010279426e-01,1.217475104400899399e-01,1.056858336010279426e-01,8.833922261484099259e-02,1.140379055573401829e-01,1.166077738515901019e-01
1.023965141612200452e-01,1.055088702147525676e-01,1.117335823218176122e-01,1.136009959539371339e-01,1.079987550575785826e-01,1.204481792717086858e-01,1.098661686896981043e-01,1.210706504824151930e-01,1.073762838468720754e-01
1.215245235863792600e-01,1.184004998437988149e-01,1.177756950952827258e-01,1.034051858794126783e-01,1.152764761012183697e-01,1.109028428616057466e-01,9.653233364573571285e-02,1.109028428616057466e-01,1.052796001249609453e-01
1.087827426810477616e-01,1.057010785824345211e-01,1.050847457627118592e-01,1.260400616332819634e-01,1.112480739599383678e-01,1.038520801232665630e-01,9.460708782742681400e-02,1.137134052388289740e-01,1.309707241910631759e-01
1.129082426127527156e-01,1.104199066874027996e-01,1.129082426127527156e-01,1.166407465007776034e-01,1.141524105754276874e-01,1.178849144634525614e-01,9.175738724727838802e-02,1.066874027993779117e-01,1.166407465007776034e-01
1.012536162005785861e-01,1.025393764063002311e-01,1.198971391835422645e-01,9.161041465766633918e-02,1.166827386692381868e-01,1.173256187720990024e-01,1.121825779492124781e-01,1.128254580520732936e-01,1.256830601092896182e-01
1.193495934959349636e-01,9.658536585365853910e-02,1.076422764227642215e-01,1.050406504065040658e-01,1.108943089430894369e-01,1.186991869918699177e-01,1.167479674796747940e-01,1.134959349593495925e-01,1.115447154471544688e-01
1.065958111909971889e-01,1.122225695529853046e-01,9.534229446702094379e-02,1.053454204438887126e-01,1.159737417943107196e-01,1.159737417943107196e-01,1.134729603000937809e-01,1.203501094091903728e-01,1.147233510472022572e-01
1.386593204775022903e-01,1.147842056932966009e-01,1.123354759718396129e-01,9.580655035200490166e-02,1.147842056932966009e-01,9.764309764309764272e-02,1.074380165289256228e-01,1.013161922252831387e-01,1.172329354147536029e-01
1.170313986679352991e-01,1.221059308594988901e-01,1.005391690453536352e-01,1.125911830003171604e-01,1.106882334284808173e-01,1.081509673326990217e-01,9.863621947351729202e-02,1.189343482397716423e-01,1.113225499524262557e-01
8.710372422283779725e-02,1.191135734072022168e-01,9.879963065558633462e-02,1.172668513388735040e-01,1.240381655894121221e-01,9.879963065558633462e-02,1.265004616805170956e-01,1.061865189289011996e-01,1.221914435210834093e-01
1.132249156182878191e-01,1.015648972077324297e-01,1.003375268487265992e-01,1.089291193617674125e-01,1.083154341822644973e-01,1.034059527462411754e-01,1.285670451058607000e-01,1.132249156182878191e-01,1.224301933108315477e-01
1.203791469194312735e-01,9.699842022116902940e-02,1.235387045813586132e-01,9.952606635071090113e-02,9.826224328593996526e-02,1.172195892575039478e-01,1.285939968404423428e-01,1.039494470774091628e-01,1.115323854660347502e-01
1.145987562925673692e-01,1.045306485045898737e-01,1.175599644655019316e-01,9.683150725496002253e-02,1.240746224459579466e-01,1.163754811963280955e-01,1.057151317737636959e-01,1.157832395617411914e-01,1.045306485045898737e-01
1.210509852987175505e-01,1.154207069127306806e-01,1.122927744760713192e-01,1.072880825774163299e-01,1.154207069127306806e-01,1.004066312167657127e-01,1.054113231154207020e-01,1.091648420394119440e-01,1.135439474507350666e-01
1.086096744752053506e-01,1.110435047155460958e-01,1.219957407970794078e-01,1.128688773958016478e-01,1.110435047155460958e-01,1.073927593550349918e-01,1.183449954365683038e-01,1.122604198357164546e-01,9.644052327350167986e-02
1.106263633530694956e-01,1.187285758803365565e-01,1.062636335306949148e-01,1.137425989404799026e-01,1.212215643502648765e-01,9.816142100342785393e-02,1.025241508258024348e-01,1.131193518229978157e-01,1.156123402929261496e-01
9.513343799058084083e-02,1.108320251177394022e-01,1.152276295133437961e-01,1.102040816326530642e-01,1.177394034536891620e-01,1.108320251177394022e-01,1.196232339089481900e-01,1.076923076923076983e-01,1.127158555729984302e-01
1.087827426810477616e-01,1.186440677966101725e-01,1.032357473035439149e-01,1.248073959938366673e-01,1.198767334360554687e-01,1.020030816640986188e-01,1.057010785824345211e-01,1.093990755007704097e-01,1.075500770416024654e-01
1.065143562828033408e-01,1.194813213954924319e-01,1.071318308119790091e-01,1.009570855202222978e-01,9.786971287434392819e-02,1.213337449830194509e-01,1.151589996912627395e-01,1.244211176288978066e-01,1.071318308119790091e-01
9.828393135725428664e-02,1.063962558502340033e-01,1.145085803432137339e-01,1.082683307332293343e-01,1.219968798751950023e-01,1.057722308892355689e-01,1.101404056162246514e-01,1.232449297971918850e-01,1.113884555382215341e-01
1.273865414710485255e-01,8.794992175273864954e-02,1.236306729264475684e-01,1.104851330203442811e-01,1.230046948356807446e-01,1.023474178403755847e-01,1.054773082942097040e-01,1.104851330203442811e-01,1.092331768388106472e-01
1.000965561635017709e-01,1.226263276472481512e-01,1.007402639201802341e-01,1.097521725136787890e-01,1.316382362407466922e-01,1.084647570003218486e-01,1.142581268104280595e-01,1.020276794335371745e-01,1.103958802703572523e-01
1.090076335877862568e-01,1.059541984732824405e-01,1.041221374045801507e-01,1.316030534351144976e-01,1.138931297709923629e-01,1.126717557251908364e-01,1.047328244274809139e-01,1.151145038167938894e-01,1.029007633587786241e-01
1.092913385826771722e-01,1.187401574803149673e-01,1.074015748031496020e-01,1.042519685039370037e-01,1.130708661417322847e-01,1.124409448818897705e-01,1.181102362204724393e-01,1.105511811023622004e-01,1.061417322834645738e-01
1.148584155265669760e-01,1.097677378300986328e-01,1.275851097677378199e-01,1.218580973592109512e-01,9.640470887686923562e-02,9.449570474069360349e-02,1.034043907095132109e-01,1.148584155265669760e-01,1.167674196627426081e-01
1.124187054815732473e-01,1.179931867451223249e-01,1.136574790956952630e-01,1.074636110250851706e-01,1.155156395168782935e-01,1.049860637968411253e-01,1.173737999380613239e-01,1.031279033756580948e-01,1.074636110250851706e-01
1.039685142669727752e-01,1.026566087241718578e-01,1.118399475237782936e-01,1.177435224663824220e-01,1.177435224663824220e-01,1.105280419809773762e-01,1.157756641521810459e-01,1.105280419809773762e-01,1.092161364381764449e-01
1.281003793405310898e-01,1.059235482929676148e-01,1.100087540122556135e-01,1.123431572804201861e-01,1.070907499270498942e-01,1.076743507440910408e-01,1.035891450248030282e-01,1.164283629997081987e-01,1.088415523781733341e-01
1.071767309516282046e-01,1.008536199810306649e-01,1.217198861840025348e-01,1.033828643692696753e-01,1.097059753398672149e-01,1.090736642428074554e-01,1.179260196016440054e-01,1.052797976604489399e-01,1.248814416693012908e-01
1.047070124879923153e-01,1.059878322126160677e-01,1.034261927633685491e-01,1.168747998719180253e-01,1.021453730387447967e-01,1.130323406980467543e-01,1.027857829010566798e-01,1.252001280819724505e-01,1.258405379442843475e-01
1.012070566388115073e-01,1.148251315382234627e-01,1.073970906839987610e-01,1.043020736614051341e-01,1.117301145156298359e-01,1.073970906839987610e-01,1.284432064376354043e-01,1.111111111111111049e-01,1.135871247291860148e-01
9.073783359497644696e-02,1.246467817896389357e-01,1.102040816326530642e-01,1.083202511773940363e-01,1.058084772370486704e-01,1.152276295133437961e-01,1.095761381475667123e-01,1.252747252747252737e-01,1.102040816326530642e-01
