goal,Z0,Z1,Z2,F0,F1,Z0_F0,F0_Z0,Z0_F0_P0
Z0,0.0,0.08864792895586485,0.08766235841375015,0.13672797700777375,0.1942814350885083,0.22676045781939527,0.12520361147230108,0.1350898602017557
Z1,0.08864792895586485,0.0,0.035737486915494686,0.10827026596508302,0.19406070414487905,0.23578777711709295,0.16300562063121674,0.16093097777028062
Z2,0.08766235841375015,0.035737486915494686,0.0,0.08219294376518359,0.16277462744298976,0.20338569010442373,0.1317957284393319,0.12780067695632194
F0,0.13672797700777375,0.10827026596508302,0.08219294376518359,0.0,0.09720507037692139,0.14593436956505262,0.12122357895511944,0.1072485274077362
F1,0.1942814350885083,0.19406070414487905,0.16277462744298976,0.09720507037692139,0.0,0.05574102146670088,0.10313351957310622,0.0801584247318437
Z0_F0,0.22676045781939527,0.23578777711709295,0.20338569010442373,0.14593436956505262,0.05574102146670088,0.0,0.11491584966846503,0.09725698464072287
F0_Z0,0.12520361147230108,0.16300562063121674,0.1317957284393319,0.12122357895511944,0.10313351957310622,0.11491584966846503,0.0,0.049655307676969546
Z0_F0_P0,0.1350898602017557,0.16093097777028062,0.12780067695632194,0.1072485274077362,0.0801584247318437,0.09725698464072287,0.049655307676969546,0.0
