goal_id,goal_name,action:Z3,action:F3,action:phase-F3,pair:Z3:0,pair:Z3:1,pair:Z3:2,pair:F3:0,pair:F3:1,pair:F3:2,pair:phase-F3:0,pair:phase-F3:1,pair:phase-F3:2,normalized_steps,success_rate
0,Z0,0.8626506024096385,0.13734939759036144,0.0,0.04578313253012048,0.5421686746987951,0.2746987951807229,0.043373493975903614,0.05060240963855422,0.043373493975903614,0.0,0.0,0.0,0.6916666666666667,0.475
1,Z1,0.627906976744186,0.37209302325581395,0.0,0.1362126245847176,0.12292358803986711,0.3687707641196013,0.12956810631229235,0.11627906976744186,0.12624584717607973,0.0,0.0,0.0,0.5016666666666667,0.925
2,Z2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0
3,F0,0.5081967213114754,0.4918032786885246,0.0,0.10655737704918032,0.14344262295081966,0.2581967213114754,0.14754098360655737,0.20081967213114754,0.14344262295081966,0.0,0.0,0.0,0.4066666666666666,0.9
4,F1,0.5061224489795918,0.49387755102040815,0.0,0.12653061224489795,0.14285714285714285,0.23673469387755103,0.16326530612244897,0.1510204081632653,0.17959183673469387,0.0,0.0,0.0,0.4083333333333333,0.925
5,Z0_F0,0.5089974293059126,0.4910025706940874,0.0,0.15167095115681234,0.12082262210796915,0.2365038560411311,0.19023136246786632,0.13110539845758354,0.16966580976863754,0.0,0.0,0.0,0.6483333333333333,0.825
6,F0_Z0,0.5561643835616439,0.4438356164383562,0.0,0.15342465753424658,0.13150684931506848,0.27123287671232876,0.1506849315068493,0.14794520547945206,0.14520547945205478,0.0,0.0,0.0,0.6083333333333333,0.825
7,Z0_F0_P0,0.5333333333333333,0.4666666666666667,0.0,0.175,0.16,0.19833333333333333,0.18333333333333332,0.135,0.14833333333333334,0.0,0.0,0.0,1.0,0.0
