goal_id,goal_name,predicted_steps,empirical_steps_success,success_rate
0,Z0,3.7457661628723145,5.2631578947368425,0.475
1,Z1,3.4756948947906494,6.918918918918919,0.925
2,Z2,3.4896950721740723,1.0,1.0
3,F0,4.105443000793457,5.111111111111111,0.9
4,F1,3.526212215423584,5.405405405405405,0.925
5,Z0_F0,3.888338565826416,8.606060606060606,0.825
6,F0_Z0,4.645591735839844,7.878787878787879,0.825
7,Z0_F0_P0,4.4444122314453125,nan,0.0
