goal,Z0,Z1,Z2,F0,F1,Z0_F0,F0_Z0,Z0_F0_P0
Z0,0.0,4.110280863455771,4.158093173232863,4.025015197778601,3.8761980214111875,3.877157985383906,4.439325886536617,4.560489420043045
Z1,4.110280863455771,0.0,1.0086332737232837,1.7717623055654697,2.062478886674936,3.707913937811359,3.5830868228813633,2.7680906006879162
Z2,4.158093173232863,1.0086332737232837,0.0,2.0758014632411728,1.8507590960404974,3.103956916380034,3.604053837268767,2.398426764235986
F0,4.025015197778601,1.7717623055654697,2.0758014632411728,0.0,2.1933880562062154,3.3152804463600543,2.8147991302906483,2.692399359865097
F1,3.8761980214111875,2.062478886674936,1.8507590960404974,2.1933880562062154,0.0,2.26785815358812,2.11149766312546,1.7040467623648214
Z0_F0,3.877157985383906,3.707913937811359,3.103956916380034,3.3152804463600543,2.26785815358812,0.0,3.2069830474204397,2.972821766208336
F0_Z0,4.439325886536617,3.5830868228813633,3.604053837268767,2.8147991302906483,2.11149766312546,3.2069830474204397,0.0,1.9794664979682062
Z0_F0_P0,4.560489420043045,2.7680906006879162,2.398426764235986,2.692399359865097,1.7040467623648214,2.972821766208336,1.9794664979682062,0.0
