action,action_name,outcome,goal_id,goal_name,mean_delta_distance,samples
0,Z,0,0,Z0,-2.137327088111358,382
0,Z,0,1,Z1,0.20024457589493996,382
0,Z,0,2,X0,0.17083245859096188,382
0,Z,0,3,X1,-0.07189135152007897,382
0,Z,0,4,Z0_X0,-0.5395276846061826,382
0,Z,0,5,X0_Z0,-0.8112559867778998,382
0,Z,0,6,weakZ0_Z0,-0.45772475659535194,382
0,Z,1,0,Z0,0.44820905469127537,388
0,Z,1,1,Z1,-1.919415709284163,388
0,Z,1,2,X0,0.3761440275870648,388
0,Z,1,3,X1,0.06798145328600382,388
0,Z,1,4,Z0_X0,0.2019821442279619,388
0,Z,1,5,X0_Z0,0.5462005304307053,388
0,Z,1,6,weakZ0_Z0,0.25312847697857727,388
1,X,0,0,Z0,-0.14449127888519492,298
1,X,0,1,Z1,-0.01615423724155298,298
1,X,0,2,X0,-2.9037056833305614,298
1,X,0,3,X1,0.1795137840629424,298
1,X,0,4,Z0_X0,-1.9841163678457272,298
1,X,0,5,X0_Z0,-0.6808200050520417,298
1,X,0,6,weakZ0_Z0,-0.0018595265062063332,298
1,X,1,0,Z0,-0.02269055850600037,329
1,X,1,1,Z1,0.0728436668593108,329
1,X,1,2,X0,0.06399768174238119,329
1,X,1,3,X1,-2.3242883363393303,329
1,X,1,4,Z0_X0,0.33996520071406494,329
1,X,1,5,X0_Z0,0.02117327426342254,329
1,X,1,6,weakZ0_Z0,0.3150135934534044,329
2,weak-Z,0,0,Z0,0.485454797744751,50
2,weak-Z,0,1,Z1,0.5095510482788086,50
2,weak-Z,0,2,X0,0.4091312885284424,50
2,weak-Z,0,3,X1,0.3616476058959961,50
2,weak-Z,0,4,Z0_X0,0.4106440544128418,50
2,weak-Z,0,5,X0_Z0,0.4420475959777832,50
2,weak-Z,0,6,weakZ0_Z0,-0.1955564022064209,50
2,weak-Z,1,0,Z0,0.8620011806488037,30
2,weak-Z,1,1,Z1,0.8551187515258789,30
2,weak-Z,1,2,X0,0.8287007808685303,30
2,weak-Z,1,3,X1,0.6352696418762207,30
2,weak-Z,1,4,Z0_X0,0.8456778526306152,30
2,weak-Z,1,5,X0_Z0,0.8323140144348145,30
2,weak-Z,1,6,weakZ0_Z0,0.7613120079040527,30
