goal,Z0,X0,Y0,SIC0,SIC1,SIC2,SIC3,Z0_SIC0,SIC0_X0
Z0,0.0,2.264201749166054,1.9293687816748124,3.191053249712453,4.212686023607831,1.5680127193769933,3.1099989862241166,1.4966265716782428,2.7957382770992827
X0,2.264201749166054,0.0,2.1742878401713455,2.9108566650873517,5.258355078148555,1.6700488626784034,2.4628507657582412,2.5151438509860804,3.130236626237676
Y0,1.9293687816748124,2.1742878401713455,0.0,1.487514095464997,3.3825695191698952,1.7117950967260516,1.5144797030383748,0.9882020624320984,1.8516061692628838
SIC0,3.191053249712453,2.9108566650873517,1.487514095464997,0.0,3.6240105873363415,2.832055822480246,1.5509148696082442,1.9463966262418018,2.917895505781363
SIC1,4.212686023607831,5.258355078148555,3.3825695191698952,3.6240105873363415,0.0,4.774623556403306,3.9477842387132625,3.114482938162351,3.181471581888921
SIC2,1.5680127193769933,1.6700488626784034,1.7117950967260516,2.832055822480246,4.774623556403306,0.0,2.568042521490795,1.9567649692603026,2.5082464224488086
SIC3,3.1099989862241166,2.4628507657582412,1.5144797030383748,1.5509148696082442,3.9477842387132625,2.568042521490795,0.0,2.1914033689433836,2.5877693865268174
Z0_SIC0,1.4966265716782428,2.5151438509860804,0.9882020624320984,1.9463966262418018,3.114482938162351,1.9567649692603026,2.1914033689433836,0.0,2.3168206315647173
SIC0_X0,2.7957382770992827,3.130236626237676,1.8516061692628838,2.917895505781363,3.181471581888921,2.5082464224488086,2.5877693865268174,2.3168206315647173,0.0
