condition,seed,epoch,train_loss,test_accuracy,test_nll
full-history,0,34,0.08934003884593646,0.9688888888888889,0.1031503975391388
full-history,0,35,0.08870416643718879,0.9644444444444444,0.11723179370164871
last-cycle,0,1,2.1196289380391438,0.20777777777777778,2.0274009704589844
last-cycle,0,2,1.9083436568578085,0.30666666666666664,1.7741434574127197
last-cycle,0,3,1.6376307328542075,0.4361111111111111,1.507332682609558
last-cycle,0,4,1.4468886931737264,0.45555555555555555,1.4375355243682861
last-cycle,0,5,1.4195995728174846,0.46444444444444444,1.4154928922653198
last-cycle,0,6,1.4018531640370686,0.46444444444444444,1.4062221050262451
last-cycle,0,7,1.400527803103129,0.45444444444444443,1.405220866203308
last-cycle,0,8,1.3972117980321248,0.4572222222222222,1.4030640125274658
last-cycle,0,9,1.3916769822438557,0.4633333333333333,1.4034768342971802
last-cycle,0,10,1.3875627915064495,0.46444444444444444,1.3963178396224976
last-cycle,0,11,1.3841938257217408,0.4633333333333333,1.3946993350982666
last-cycle,0,12,1.3999812285105386,0.4633333333333333,1.394875168800354
last-cycle,0,13,1.3819842338562012,0.46444444444444444,1.397499442100525
last-cycle,0,14,1.4167881647745768,0.46444444444444444,1.3955414295196533
last-cycle,0,15,1.3940951506296793,0.4633333333333333,1.3967032432556152
last-cycle,0,16,1.4018709897994994,0.46444444444444444,1.4000639915466309
last-cycle,0,17,1.383187977472941,0.4633333333333333,1.4036827087402344
last-cycle,0,18,1.395776915550232,0.4633333333333333,1.3980536460876465
last-cycle,0,19,1.3833597501118977,0.46444444444444444,1.3975415229797363
last-cycle,0,20,1.380877383550008,0.46444444444444444,1.3970904350280762
last-cycle,0,21,1.4131497542063396,0.46444444444444444,1.3956258296966553
last-cycle,0,22,1.3692498763402303,0.46444444444444444,1.3944650888442993
last-cycle,0,23,1.3781318505605062,0.46444444444444444,1.3961470127105713
last-cycle,0,24,1.381146240234375,0.46444444444444444,1.3955268859863281
last-cycle,0,25,1.4037694215774537,0.46444444444444444,1.3970825672149658
last-cycle,0,26,1.3782263278961182,0.46444444444444444,1.396224856376648
last-cycle,0,27,1.3903271198272704,0.46444444444444444,1.3981293439865112
last-cycle,0,28,1.3758191823959351,0.46444444444444444,1.3954253196716309
last-cycle,0,29,1.4060216983159384,0.4633333333333333,1.3930809497833252
last-cycle,0,30,1.377351196606954,0.46444444444444444,1.396638035774231
last-cycle,0,31,1.3799958944320678,0.46444444444444444,1.3992512226104736
last-cycle,0,32,1.4032043059666952,0.46444444444444444,1.3942070007324219
last-cycle,0,33,1.36925257841746,0.46444444444444444,1.3974272012710571
last-cycle,0,34,1.382829475402832,0.46444444444444444,1.3984206914901733
last-cycle,0,35,1.3849268118540445,0.4633333333333333,1.397330403327942
null,0,1,2.204960838953654,0.12055555555555555,2.198061227798462
null,0,2,2.1948295911153157,0.11166666666666666,2.1992104053497314
null,0,3,2.1934986750284833,0.11333333333333333,2.2009763717651367
null,0,4,2.197256660461426,0.11722222222222223,2.202068328857422
null,0,5,2.193720738093058,0.10444444444444445,2.202554225921631
null,0,6,2.1940157731374104,0.115,2.2033276557922363
null,0,7,2.195392942428589,0.10888888888888888,2.204058885574341
null,0,8,2.193552764256795,0.11444444444444445,2.203115940093994
null,0,9,2.193039814631144,0.11166666666666666,2.203320026397705
null,0,10,2.1936700344085693,0.1111111111111111,2.2029495239257812
null,0,11,2.194007682800293,0.12055555555555555,2.202601671218872
null,0,12,2.191239579518636,0.12,2.202747106552124
null,0,13,2.194283215204875,0.115,2.2043561935424805
null,0,14,2.1939099470774335,0.10888888888888888,2.2037367820739746
null,0,15,2.186774317423503,0.11166666666666666,2.2040016651153564
null,0,16,2.1859953085581463,0.10888888888888888,2.206294536590576
null,0,17,2.1903690338134765,0.105,2.209834098815918
null,0,18,2.1896198908487956,0.11055555555555556,2.209596633911133
null,0,19,2.1836727619171143,0.11222222222222222,2.207798719406128
null,0,20,2.1809609572092694,0.10888888888888888,2.211911916732788
null,0,21,2.187451124191284,0.10611111111111111,2.214242696762085
null,0,22,2.1864940325419107,0.10277777777777777,2.2102606296539307
null,0,23,2.1831107139587402,0.115,2.211705207824707
null,0,24,2.181037759780884,0.10777777777777778,2.214432954788208
null,0,25,2.184370978673299,0.11,2.2121431827545166
null,0,26,2.17823699315389,0.11666666666666667,2.214853286743164
null,0,27,2.1754934946695963,0.10666666666666667,2.217785596847534
null,0,28,2.1804351806640625,0.11666666666666667,2.220724105834961
null,0,29,2.1781257311503093,0.11777777777777777,2.214952230453491
null,0,30,2.1727222124735515,0.11833333333333333,2.217390298843384
null,0,31,2.1722073396046957,0.1111111111111111,2.220400810241699
null,0,32,2.1748223304748535,0.115,2.2216131687164307
null,0,33,2.179390017191569,0.11555555555555555,2.2222061157226562
null,0,34,2.1683395385742186,0.12333333333333334,2.2242937088012695
null,0,35,2.1703452746073406,0.11611111111111111,2.2260022163391113
full-history,1,1,2.142190869649251,0.26166666666666666,2.041370391845703
full-history,1,2,1.853990896542867,0.36277777777777775,1.546089768409729
full-history,1,3,1.29821887811025,0.6455555555555555,1.1205977201461792
full-history,1,4,0.9917893369992574,0.8155555555555556,0.8829481601715088
full-history,1,5,0.7971378644307454,0.8333333333333334,0.7179778218269348
full-history,1,6,0.662350841363271,0.8627777777777778,0.5976003408432007
full-history,1,7,0.5716255307197571,0.8733333333333333,0.5191253423690796
full-history,1,8,0.4793870488802592,0.9077777777777778,0.4296569228172302
full-history,1,9,0.3946299115816752,0.9211111111111111,0.344298779964447
full-history,1,10,0.32893630067507423,0.925,0.2921396791934967
full-history,1,11,0.25009186069170636,0.9488888888888889,0.21758796274662018
full-history,1,12,0.2071883668502172,0.9538888888888889,0.182695209980011
full-history,1,13,0.17586537301540375,0.9616666666666667,0.1521034687757492
full-history,1,14,0.1619612991809845,0.9555555555555556,0.15675246715545654
full-history,1,15,0.150664954384168,0.96,0.14238621294498444
full-history,1,16,0.133017664651076,0.9677777777777777,0.1232861801981926
full-history,1,17,0.13736060212055842,0.9577777777777777,0.13226695358753204
full-history,1,18,0.13156866331895192,0.9744444444444444,0.10445120930671692
full-history,1,19,0.13563951402902602,0.9694444444444444,0.10916188359260559
full-history,1,20,0.1143935908873876,0.9561111111111111,0.13636459410190582
full-history,1,21,0.1132286916176478,0.9655555555555555,0.11287184059619904
full-history,1,22,0.10807559192180634,0.9711111111111111,0.10071403533220291
full-history,1,23,0.10063945949077606,0.9633333333333334,0.10502688586711884
full-history,1,24,0.10894950156410535,0.9672222222222222,0.1005614697933197
full-history,1,25,0.09700513544181982,0.9688888888888889,0.10140817612409592
full-history,1,26,0.09504736810922623,0.9666666666666667,0.11061827093362808
full-history,1,27,0.09055032556255659,0.965,0.11239450424909592
full-history,1,28,0.09732708657781283,0.9561111111111111,0.13902828097343445
full-history,1,29,0.11446929971377055,0.9627777777777777,0.11016145348548889
full-history,1,30,0.11700933029254278,0.9472222222222222,0.14778506755828857
full-history,1,31,0.12143090218305588,0.9527777777777777,0.12067952752113342
full-history,1,32,0.0928910235563914,0.9688888888888889,0.09830544888973236
full-history,1,33,0.0846254991988341,0.9716666666666667,0.09516578912734985
full-history,1,34,0.12974953254063923,0.9605555555555556,0.1194712221622467
full-history,1,35,0.09193494841456414,0.9727777777777777,0.09357476234436035
last-cycle,1,1,2.151248900095622,0.21944444444444444,2.072390079498291
last-cycle,1,2,1.9762350956598917,0.32611111111111113,1.8304916620254517
last-cycle,1,3,1.6761356989542644,0.41888888888888887,1.5196243524551392
last-cycle,1,4,1.475427301724752,0.4311111111111111,1.4299829006195068
last-cycle,1,5,1.4164928118387858,0.4577777777777778,1.3977452516555786
last-cycle,1,6,1.4021393458048503,0.4622222222222222,1.3791393041610718
last-cycle,1,7,1.413446855545044,0.4688888888888889,1.368883728981018
last-cycle,1,8,1.3755451758702597,0.4688888888888889,1.367471694946289
last-cycle,1,9,1.364727751413981,0.4688888888888889,1.361509919166565
last-cycle,1,10,1.3810691674550375,0.4688888888888889,1.3601754903793335
last-cycle,1,11,1.3542309125264487,0.4688888888888889,1.3675771951675415
last-cycle,1,12,1.3717095454533894,0.47055555555555556,1.359760046005249
last-cycle,1,13,1.3775586525599162,0.4688888888888889,1.35877525806427
last-cycle,1,14,1.3666096607844034,0.4688888888888889,1.3643394708633423
last-cycle,1,15,1.3504614114761353,0.4688888888888889,1.3616807460784912
last-cycle,1,16,1.3613472859064737,0.4688888888888889,1.356786847114563
last-cycle,1,17,1.361579171816508,0.4688888888888889,1.3618502616882324
last-cycle,1,18,1.3729950428009032,0.4688888888888889,1.3600674867630005
last-cycle,1,19,1.3623755772908528,0.4688888888888889,1.3640711307525635
last-cycle,1,20,1.3857402722040812,0.47055555555555556,1.3616325855255127
last-cycle,1,21,1.3789225419362385,0.4688888888888889,1.3585447072982788
last-cycle,1,22,1.360839875539144,0.4688888888888889,1.359020709991455
last-cycle,1,23,1.3714555819829306,0.4688888888888889,1.3586783409118652
last-cycle,1,24,1.359909725189209,0.4688888888888889,1.3551429510116577
last-cycle,1,25,1.3538301865259805,0.4688888888888889,1.3557649850845337
last-cycle,1,26,1.3752052148183187,0.4688888888888889,1.358304500579834
last-cycle,1,27,1.3809722185134887,0.4688888888888889,1.3580992221832275
last-cycle,1,28,1.3681746482849122,0.4688888888888889,1.3578755855560303
last-cycle,1,29,1.3481689453125,0.4688888888888889,1.3578938245773315
last-cycle,1,30,1.3918306589126588,0.4688888888888889,1.360621452331543
last-cycle,1,31,1.356116525332133,0.4688888888888889,1.3569318056106567
last-cycle,1,32,1.3460992256800333,0.4688888888888889,1.3584901094436646
last-cycle,1,33,1.35493217309316,0.4688888888888889,1.357007384300232
last-cycle,1,34,1.3682738860448203,0.4688888888888889,1.3543719053268433
last-cycle,1,35,1.3526392380396526,0.4688888888888889,1.3575384616851807
null,1,1,2.2012309233347573,0.10388888888888889,2.2000675201416016
null,1,2,2.199975617726644,0.10611111111111111,2.1995084285736084
null,1,3,2.1949119726816813,0.10722222222222222,2.1995060443878174
null,1,4,2.197967449824015,0.09722222222222222,2.2015841007232666
null,1,5,2.1960842609405518,0.09388888888888888,2.2019243240356445
null,1,6,2.1945733229319253,0.115,2.2026422023773193
null,1,7,2.191317923863729,0.10333333333333333,2.2040162086486816
null,1,8,2.1921773592631024,0.09944444444444445,2.2060678005218506
null,1,9,2.1955994764963784,0.10222222222222223,2.2077434062957764
null,1,10,2.1931267102559406,0.10055555555555555,2.2064480781555176
null,1,11,2.189903815587362,0.10666666666666667,2.206815719604492
null,1,12,2.192287826538086,0.09722222222222222,2.2080442905426025
null,1,13,2.1898210843404136,0.09444444444444444,2.209839105606079
null,1,14,2.1891429901123045,0.09944444444444445,2.2110345363616943
null,1,15,2.1889931360880532,0.10277777777777777,2.2119204998016357
null,1,16,2.189430030186971,0.1111111111111111,2.2135169506073
null,1,17,2.183289813995361,0.10611111111111111,2.216850757598877
null,1,18,2.187020778656006,0.10944444444444444,2.218165397644043
null,1,19,2.1867770671844484,0.10611111111111111,2.218074083328247
null,1,20,2.1841521422068277,0.11055555555555556,2.2148733139038086
null,1,21,2.183577823638916,0.115,2.2215259075164795
null,1,22,2.1837939103444417,0.105,2.222771644592285
null,1,23,2.180437692006429,0.10111111111111111,2.2202866077423096
null,1,24,2.1853198846181234,0.10611111111111111,2.2224273681640625
null,1,25,2.183469216028849,0.10222222222222223,2.221871852874756
null,1,26,2.178170680999756,0.11444444444444445,2.2189536094665527
null,1,27,2.1744704882303876,0.105,2.2263832092285156
null,1,28,2.179289627075195,0.10666666666666667,2.224975824356079
null,1,29,2.1768919308980306,0.115,2.2223613262176514
null,1,30,2.1741185824076337,0.11277777777777778,2.224069118499756
null,1,31,2.166727574666341,0.10666666666666667,2.226541519165039
null,1,32,2.1713362058003742,0.10944444444444444,2.2292158603668213
null,1,33,2.162425470352173,0.115,2.232663869857788
null,1,34,2.1642263094584147,0.11277777777777778,2.233515977859497
null,1,35,2.1665488560994466,0.12111111111111111,2.234659194946289
full-history,2,1,2.103175894419352,0.31555555555555553,1.957912564277649
full-history,2,2,1.7077471415201824,0.5238888888888888,1.3635952472686768
full-history,2,3,1.137140115102132,0.7122222222222222,1.0150232315063477
full-history,2,4,0.9159526983896892,0.7988888888888889,0.8604573607444763
full-history,2,5,0.8002387007077535,0.8327777777777777,0.7261698842048645
full-history,2,6,0.6577370723088583,0.8716666666666667,0.605684220790863
full-history,2,7,0.5435377816359203,0.91,0.47501957416534424
full-history,2,8,0.4209670424461365,0.9361111111111111,0.35011163353919983
full-history,2,9,0.29953940709431964,0.94,0.27184224128723145
full-history,2,10,0.24230620364348093,0.9522222222222222,0.21326026320457458
full-history,2,11,0.21186643540859224,0.9488888888888889,0.20144808292388916
full-history,2,12,0.18550340533256532,0.9516666666666667,0.1889880895614624
full-history,2,13,0.16948998967806497,0.9505555555555556,0.18388858437538147
full-history,2,14,0.14570387005805968,0.9511111111111111,0.17270590364933014
full-history,2,15,0.14006273895502092,0.9483333333333334,0.16386030614376068
full-history,2,16,0.15304648925860723,0.9505555555555556,0.1622595489025116
full-history,2,17,0.1423212985197703,0.96,0.1482701599597931
full-history,2,18,0.13342558393875759,0.9544444444444444,0.15278936922550201
full-history,2,19,0.11930416921774546,0.9494444444444444,0.159883514046669
full-history,2,20,0.11825214922428132,0.9605555555555556,0.1296849250793457
full-history,2,21,0.10431737254063288,0.9577777777777777,0.14011003077030182
full-history,2,22,0.10475588937600454,0.9622222222222222,0.12927484512329102
full-history,2,23,0.0947373886903127,0.9572222222222222,0.13230256736278534
full-history,2,24,0.10125361283620199,0.9638888888888889,0.1241532564163208
full-history,2,25,0.09219701662659645,0.9611111111111111,0.13147813081741333
full-history,2,26,0.09019385154048602,0.9572222222222222,0.14814281463623047
full-history,2,27,0.1185678510616223,0.9588888888888889,0.138032928109169
full-history,2,28,0.10621413340171178,0.9572222222222222,0.14348110556602478
full-history,2,29,0.08812939859926701,0.9672222222222222,0.11498600244522095
full-history,2,30,0.08741684431831041,0.9666666666666667,0.11690343916416168
full-history,2,31,0.08408542623122534,0.9622222222222222,0.12724559009075165
full-history,2,32,0.09477467089891434,0.9627777777777777,0.12263273447751999
full-history,2,33,0.07992771218220393,0.9572222222222222,0.13250625133514404
full-history,2,34,0.08820056766271592,0.96,0.12399120628833771
full-history,2,35,0.08551012997825941,0.9561111111111111,0.12667809426784515
last-cycle,2,1,2.1199655214945476,0.2811111111111111,2.008378267288208
last-cycle,2,2,1.876910924911499,0.3566666666666667,1.7110872268676758
last-cycle,2,3,1.5651797771453857,0.44055555555555553,1.4872865676879883
last-cycle,2,4,1.4297863165537517,0.45666666666666667,1.4410704374313354
last-cycle,2,5,1.4291987895965577,0.45666666666666667,1.4164743423461914
last-cycle,2,6,1.3838064670562744,0.45222222222222225,1.4075751304626465
last-cycle,2,7,1.406419825553894,0.45666666666666667,1.4062914848327637
last-cycle,2,8,1.3824184894561768,0.45666666666666667,1.405492901802063
last-cycle,2,9,1.374247701962789,0.45666666666666667,1.4080636501312256
last-cycle,2,10,1.3819690465927124,0.45111111111111113,1.405722737312317
last-cycle,2,11,1.3724724531173706,0.45666666666666667,1.4046908617019653
last-cycle,2,12,1.3791274944941203,0.45666666666666667,1.4017841815948486
last-cycle,2,13,1.3722545544306437,0.45666666666666667,1.403822660446167
last-cycle,2,14,1.3641488472620646,0.45666666666666667,1.4026857614517212
last-cycle,2,15,1.3689802169799805,0.45666666666666667,1.4078673124313354
last-cycle,2,16,1.377558445930481,0.45666666666666667,1.404227375984192
last-cycle,2,17,1.386399229367574,0.44166666666666665,1.4062222242355347
last-cycle,2,18,1.3649349053700766,0.45111111111111113,1.4075570106506348
last-cycle,2,19,1.3512597958246866,0.45666666666666667,1.4035804271697998
last-cycle,2,20,1.3900814135869344,0.45666666666666667,1.4044195413589478
last-cycle,2,21,1.3909365733464558,0.45111111111111113,1.4042021036148071
last-cycle,2,22,1.393164094289144,0.45666666666666667,1.4026899337768555
last-cycle,2,23,1.369166088104248,0.45666666666666667,1.405547857284546
last-cycle,2,24,1.365043616294861,0.45666666666666667,1.4037326574325562
last-cycle,2,25,1.390498121579488,0.45666666666666667,1.402124047279358
last-cycle,2,26,1.369285273551941,0.45666666666666667,1.40546715259552
last-cycle,2,27,1.3533405860265095,0.45666666666666667,1.4086346626281738
last-cycle,2,28,1.3659368753433228,0.45666666666666667,1.4038608074188232
last-cycle,2,29,1.3625289042790731,0.45666666666666667,1.4043337106704712
last-cycle,2,30,1.3666178385416667,0.45666666666666667,1.403195858001709
last-cycle,2,31,1.3760113954544066,0.45666666666666667,1.4056472778320312
last-cycle,2,32,1.3576651016871135,0.45666666666666667,1.4048100709915161
last-cycle,2,33,1.3799354473749796,0.45666666666666667,1.4039323329925537
last-cycle,2,34,1.3700926065444947,0.45111111111111113,1.4048455953598022
last-cycle,2,35,1.3653250296910604,0.45666666666666667,1.4035663604736328
null,2,1,2.2058661619822186,0.11277777777777778,2.1976823806762695
null,2,2,2.1948501110076903,0.10277777777777777,2.197883129119873
null,2,3,2.19630610148112,0.11222222222222222,2.1987850666046143
null,2,4,2.199527152379354,0.11388888888888889,2.198995590209961
null,2,5,2.195606327056885,0.11777777777777777,2.200007677078247
null,2,6,2.1915430386861163,0.12166666666666667,2.1999199390411377
null,2,7,2.194097073872884,0.11611111111111111,2.200627326965332
null,2,8,2.1951129913330076,0.12111111111111111,2.2012569904327393
null,2,9,2.1951355298360187,0.11666666666666667,2.2015483379364014
null,2,10,2.1908034960428875,0.11388888888888889,2.2020037174224854
null,2,11,2.1917203585306804,0.11277777777777778,2.202648162841797
null,2,12,2.1942164103190103,0.11444444444444445,2.2027347087860107
null,2,13,2.194342835744222,0.11,2.2020020484924316
null,2,14,2.1916539351145428,0.11277777777777778,2.201714038848877
null,2,15,2.190913740793864,0.11388888888888889,2.201693058013916
null,2,16,2.1887136618296306,0.11888888888888889,2.2009589672088623
null,2,17,2.1905660152435305,0.11722222222222223,2.2022347450256348
null,2,18,2.1894951820373536,0.11166666666666666,2.201549768447876
null,2,19,2.184336455663045,0.11722222222222223,2.2035083770751953
null,2,20,2.183400344848633,0.11555555555555555,2.204747438430786
null,2,21,2.1882922808329264,0.10888888888888888,2.2045187950134277
null,2,22,2.1887992223103843,0.115,2.2052981853485107
null,2,23,2.1862220605214437,0.11388888888888889,2.206688165664673
null,2,24,2.183979845046997,0.10444444444444445,2.2082479000091553
null,2,25,2.1868818759918214,0.11833333333333333,2.2090988159179688
null,2,26,2.190845505396525,0.11555555555555555,2.2063350677490234
null,2,27,2.179321606953939,0.11277777777777778,2.2056071758270264
null,2,28,2.181733576456706,0.11,2.209670066833496
null,2,29,2.17877090771993,0.10277777777777777,2.215869665145874
null,2,30,2.1771595319112143,0.10388888888888889,2.2110328674316406
null,2,31,2.17500859896342,0.12166666666666667,2.2131943702697754
null,2,32,2.1707842350006104,0.11555555555555555,2.215885639190674
null,2,33,2.1636246999104816,0.11,2.2233619689941406
null,2,34,2.1663770993550617,0.11722222222222223,2.222583055496216
null,2,35,2.1735823790232343,0.10611111111111111,2.226020097732544
