condition,seed,cycles_seen,test_accuracy,bayes_accuracy,negative_log_likelihood,brier_score,mean_confidence,mean_entropy
full-history,0,12,0.9644444444444444,0.9766666666666667,0.11723179370164871,0.05681630416494804,0.9596920013427734,0.14421020448207855
last-cycle,0,1,0.4633333333333333,0.46444444444444444,1.397330403327942,0.6853072608114253,0.45621973276138306,1.3992493152618408
null,0,12,0.11611111111111111,0.1111111111111111,2.2260022163391113,0.8954294554391662,0.1592242270708084,2.168135404586792
full-history,1,12,0.9727777777777777,0.9816666666666667,0.09357476234436035,0.045146537168488175,0.9592463970184326,0.15118515491485596
last-cycle,1,1,0.4688888888888889,0.4688888888888889,1.3575384616851807,0.6782726810789885,0.48973116278648376,1.3527883291244507
null,1,12,0.12111111111111111,0.1111111111111111,2.234659194946289,0.8970338028303839,0.16200284659862518,2.1631929874420166
full-history,2,12,0.9561111111111111,0.9733333333333334,0.12667809426784515,0.06451101458020898,0.9646408557891846,0.13513150811195374
last-cycle,2,1,0.45666666666666667,0.45666666666666667,1.4035663604736328,0.6912186354172791,0.46730414032936096,1.3685204982757568
null,2,12,0.10611111111111111,0.1111111111111111,2.226020097732544,0.8952923487331804,0.1586436629295349,2.166486978530884
