goal,Z0,Z1,X0,X1,Z0_X0,X0_Z0,weakZ0_Z0
Z0,0.0,1.415353344761875,2.728335522527514,4.6855058179170275,3.3650863116830325,2.1789432919713336,3.9464206747490156
Z1,1.415353344761875,0.0,3.296379553468698,4.3863772678859325,2.931320778344284,2.989604852926264,4.173235477661127
X0,2.728335522527514,3.296379553468698,0.0,4.4914832659576875,2.8635249125880695,0.9479578621109527,3.8982099640903116
X1,4.6855058179170275,4.3863772678859325,4.4914832659576875,0.0,3.1072783450589947,4.653587137162546,2.719265171840173
Z0_X0,3.3650863116830325,2.931320778344284,2.8635249125880695,3.1072783450589947,0.0,3.2295140589232205,2.850733244726746
X0_Z0,2.1789432919713336,2.989604852926264,0.9479578621109527,4.653587137162546,3.2295140589232205,0.0,3.883282170988032
weakZ0_Z0,3.9464206747490156,4.173235477661127,3.8982099640903116,2.719265171840173,2.850733244726746,3.883282170988032,0.0
