goal_id,goal_name,horizon,success_probability
0,Z0,1,0.0
0,Z0,2,0.0
0,Z0,3,0.55
0,Z0,4,0.55
0,Z0,5,0.75
0,Z0,6,0.75
0,Z0,7,0.875
0,Z0,8,0.875
0,Z0,9,0.975
0,Z0,10,0.975
0,Z0,11,1.0
0,Z0,12,1.0
0,Z0,13,1.0
0,Z0,14,1.0
0,Z0,15,1.0
1,Z1,1,1.0
1,Z1,2,1.0
1,Z1,3,1.0
1,Z1,4,1.0
1,Z1,5,1.0
1,Z1,6,1.0
1,Z1,7,1.0
1,Z1,8,1.0
1,Z1,9,1.0
1,Z1,10,1.0
1,Z1,11,1.0
1,Z1,12,1.0
1,Z1,13,1.0
1,Z1,14,1.0
1,Z1,15,1.0
2,X0,1,0.475
2,X0,2,0.475
2,X0,3,0.7
2,X0,4,0.7
2,X0,5,0.825
2,X0,6,0.825
2,X0,7,0.9
2,X0,8,0.9
2,X0,9,0.975
2,X0,10,0.975
2,X0,11,0.975
2,X0,12,0.975
2,X0,13,1.0
2,X0,14,1.0
2,X0,15,1.0
3,X1,1,0.35
3,X1,2,0.35
3,X1,3,0.675
3,X1,4,0.675
3,X1,5,0.875
3,X1,6,0.875
3,X1,7,0.95
3,X1,8,0.95
3,X1,9,0.975
3,X1,10,0.975
3,X1,11,0.975
3,X1,12,0.975
3,X1,13,0.975
3,X1,14,0.975
3,X1,15,1.0
4,Z0_X0,1,0.0
4,Z0_X0,2,0.0
4,Z0_X0,3,0.25
4,Z0_X0,4,0.25
4,Z0_X0,5,0.5
4,Z0_X0,6,0.5
4,Z0_X0,7,0.8
4,Z0_X0,8,0.8
4,Z0_X0,9,0.85
4,Z0_X0,10,0.85
4,Z0_X0,11,0.95
4,Z0_X0,12,0.95
4,Z0_X0,13,0.975
4,Z0_X0,14,0.975
4,Z0_X0,15,0.975
5,X0_Z0,1,0.0
5,X0_Z0,2,0.0
5,X0_Z0,3,0.125
5,X0_Z0,4,0.125
5,X0_Z0,5,0.325
5,X0_Z0,6,0.325
5,X0_Z0,7,0.525
5,X0_Z0,8,0.525
5,X0_Z0,9,0.75
5,X0_Z0,10,0.75
5,X0_Z0,11,0.85
5,X0_Z0,12,0.85
5,X0_Z0,13,0.925
5,X0_Z0,14,0.925
5,X0_Z0,15,0.95
6,weakZ0_Z0,1,0.0
6,weakZ0_Z0,2,0.0
6,weakZ0_Z0,3,0.0
6,weakZ0_Z0,4,0.05
6,weakZ0_Z0,5,0.1
6,weakZ0_Z0,6,0.125
6,weakZ0_Z0,7,0.225
6,weakZ0_Z0,8,0.275
6,weakZ0_Z0,9,0.275
6,weakZ0_Z0,10,0.275
6,weakZ0_Z0,11,0.275
6,weakZ0_Z0,12,0.275
6,weakZ0_Z0,13,0.275
6,weakZ0_Z0,14,0.275
6,weakZ0_Z0,15,0.275
