goal_id,goal_name,action:Z,action:X,action:weak-Z,pair:Z:0,pair:Z:1,pair:X:0,pair:X:1,pair:weak-Z:0,pair:weak-Z:1,normalized_steps,success_rate
0,Z0,0.6063829787234043,0.39361702127659576,0.0,0.2127659574468085,0.39361702127659576,0.17553191489361702,0.21808510638297873,0.0,0.0,0.31333333333333335,1.0
1,Z1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0
2,X0,0.3484848484848485,0.6515151515151515,0.0,0.13636363636363635,0.21212121212121213,0.30303030303030304,0.3484848484848485,0.0,0.0,0.22,1.0
3,X1,0.35507246376811596,0.644927536231884,0.0,0.15942028985507245,0.1956521739130435,0.35507246376811596,0.2898550724637681,0.0,0.0,0.23,1.0
4,Z0_X0,0.421259842519685,0.5787401574803149,0.0,0.22440944881889763,0.1968503937007874,0.2677165354330709,0.3110236220472441,0.0,0.0,0.4233333333333333,0.975
5,X0_Z0,0.5625,0.4375,0.0,0.221875,0.340625,0.178125,0.259375,0.0,0.0,0.5333333333333333,0.95
6,weakZ0_Z0,0.4095427435387674,0.4433399602385686,0.147117296222664,0.1848906560636183,0.22465208747514911,0.22664015904572565,0.21669980119284293,0.02385685884691849,0.12326043737574553,0.8383333333333333,0.275
