goal_id,goal_name,predicted_steps,empirical_steps_success,success_rate
0,Z0,3.1645424365997314,4.7,1.0
1,Z1,2.795456886291504,1.0,1.0
2,X0,4.105921745300293,3.3,1.0
3,X1,5.233724594116211,3.45,1.0
4,Z0_X0,4.924731254577637,6.128205128205129,0.975
5,X0_Z0,3.8367528915405273,7.631578947368421,0.95
6,weakZ0_Z0,4.654950141906738,6.181818181818182,0.275
