0,2,3,2,2.32,3.28,3,3.42,3.78
2,0,2,2.44,2,2.52,3.36,3,3.5
3,2,0,3.34,2.38,2,4.04,3.5,3
2,2.74,3.36,0,2,3,2,2.38,3.54
2.42,2,2.28,2,0,2,2.64,2,2.34
3.14,2.28,2,3,2,0,3.42,2.5,2
3,3.48,3.82,2,2.44,3.5,0,2,3
3.4,3,3.44,2.36,2,2.6,2,0,2
3.72,3.36,3,3.32,2.46,2,3,2,0
