source/goal,00,10,01,11
00,3.1551,4.14784,4.14728,4.52996
10,4.12818,3.14432,4.56978,4.1615
01,4.13646,4.53618,3.11786,4.14224
11,4.56512,4.12386,4.16638,3.1352
