alpha,beta,strength,score,goal_separation,action_separation,alias_margin_h8,outcome_axis_gap,signed_probe_gap,information_margin
0.64,2.02,0.45,2.826949432637605,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.5563548468011669,0.5333125820372681,0.5333125820372681
0.64,2.02,0.42000000000000004,2.8163141406630468,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.5192645236810891,0.5419692580521157,0.5192645236810891
0.64,2.02,0.48000000000000004,2.801484424151901,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.5934451699212447,0.5239007418716103,0.5239007418716103
0.64,2.02,0.51,2.7738639151732785,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.6305354930413225,0.5136922310067168,0.5136922310067168
0.64,2.02,0.39,2.7702479975406282,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.48217420056101135,0.5499064346564172,0.48217420056101135
0.64,2.02,0.54,2.743956578392056,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.6676258161614003,0.5026385110080219,0.5026385110080219
0.64,2.02,0.36,2.7233514744475786,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.4450838774409335,0.5571548624648026,0.4450838774409335
0.64,2.02,0.5700000000000001,2.7116078750694244,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.7047161392814781,0.4906824645213373,0.4906824645213373
0.6699999999999999,1.93,0.48000000000000004,2.7097904681995395,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.5449682437544684,0.5447714379033695,0.5447714379033695
0.6699999999999999,1.93,0.51,2.6815599427325734,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.5790287589891226,0.5341562493795803,0.5341562493795803
0.64,2.02,0.6000000000000001,2.67663452963487,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.741806462401556,0.47775635308991365,0.47775635308991365
0.64,2.02,0.33,2.6756566025290676,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.40799355432085577,0.5637411093298788,0.40799355432085577
0.6699999999999999,1.93,0.45,2.6703421523614237,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.5109077285198141,0.5545582186627268,0.5109077285198141
0.6699999999999999,1.93,0.54,2.6509920834181453,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.613089274223777,0.5226621810254148,0.5226621810254148
0.64,2.02,0.63,2.638817104954288,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.7788967855216337,0.46377907298139687,0.46377907298139687
0.6699999999999999,1.93,0.42000000000000004,2.6296881750691528,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.4768472132851599,0.5635597517073734,0.4768472132851599
0.64,2.02,0.3,2.6271910718213674,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.3709032312007779,0.5696881424230807,0.3709032312007779
0.6699999999999999,1.93,0.5700000000000001,2.617928938431219,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.6471497894584313,0.5102298400958674,0.5102298400958674
0.7,2.02,0.48000000000000004,2.611407180733015,0.6199999999999992,1.32,0.06318530717958737,0.5755634560333388,0.5651518764119847,0.5651518764119847
0.58,2.065,0.39,2.6037519394097948,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.5112094291123839,0.5046285827301209,0.5046285827301209
0.64,2.02,0.66,2.5978898174837974,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.8159871086417115,0.4486523908794672,0.4486523908794672
0.6699999999999999,1.93,0.39,2.5881667437748694,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.4427866980505056,0.5718131225580639,0.4427866980505056
0.7,2.02,0.45,2.584412724399138,0.6199999999999992,1.32,0.06318530717958737,0.5395907400312551,0.575304790322946,0.5395907400312551
0.58,2.065,0.42000000000000004,2.583257122366772,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.5505332313517981,0.497344932406571,0.497344932406571
0.7,2.02,0.51,2.582580968207457,0.6199999999999992,1.32,0.06318530717958737,0.6115361720354224,0.5541395631824675,0.5541395631824675
0.6699999999999999,1.93,0.6000000000000001,2.5821831844438705,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.6812103046930856,0.49678878962924766,0.49678878962924766
0.58,1.93,0.42000000000000004,2.5816123851357666,0.5800000000000001,1.1600000000000001,0.08681469282041387,0.49895642657958167,0.497344932406571,0.497344932406571
0.64,2.02,0.27,2.5779787940799666,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.33381290808070013,0.5750157950657592,0.33381290808070013
0.58,2.065,0.36,2.563376467211135,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.4718856268729697,0.511280194025145,0.4718856268729697
0.9099999999999999,2.425,0.45,2.5618103174850004,0.3868146928204137,1.4331853071795866,0.0818146928204122,0.6155072379205196,0.5865582891322594,0.5865582891322594
0.58,2.065,0.45,2.560904464744302,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.5898570335912122,0.48940102436473154,0.48940102436473154
0.58,1.93,0.45,2.559259727513297,0.5800000000000001,1.1600000000000001,0.08681469282041387,0.534596171335266,0.48940102436473154,0.48940102436473154
0.58,1.8399999999999999,0.45,2.554904464744305,0.5800000000000001,1.1600000000000001,0.08318530717958694,0.49609193648587524,0.48940102436473154,0.48940102436473154
0.9099999999999999,2.425,0.42000000000000004,2.5541198124350495,0.3868146928204137,1.4331853071795866,0.0818146928204122,0.5744734220591518,0.5960792440916278,0.5744734220591518
0.64,2.02,0.69,2.5535262260929943,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.8530774317617892,0.4322556544880695,0.4322556544880695
0.7,2.02,0.54,2.5513681021883614,0.6199999999999992,1.32,0.06318530717958737,0.6475088880375062,0.5422154903585239,0.5422154903585239
0.6699999999999999,1.93,0.36,2.545814932509955,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.40872618281585127,0.5793503068453131,0.40872618281585127
0.6699999999999999,1.93,0.63,2.5435305379134774,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.7152708199277398,0.48225469495419016,0.48225469495419016
0.7,2.02,0.42000000000000004,2.540890445955723,0.6199999999999992,1.32,0.06318530717958737,0.5036180240291714,0.5846430796252365,0.5036180240291714
0.58,1.93,0.39,2.5401393508194543,0.5800000000000001,1.1600000000000001,0.08681469282041387,0.46331668182389724,0.5046285827301209,0.46331668182389724
0.58,2.065,0.48000000000000004,2.536601875568097,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.6291808358306263,0.4807641304054059,0.4807641304054059
0.58,1.93,0.48000000000000004,2.5349571383370915,0.5800000000000001,1.1600000000000001,0.08681469282041387,0.5702359160909505,0.4807641304054059,0.4807641304054059
