length,replicate,trace_distance
0,0,0.053517198512
0,1,0.031575464607
0,2,0.010539169217
0,3,0.091045120515
0,4,0.033277936710
0,5,0.021329179705
0,6,0.056685120407
0,7,0.010539169217
0,8,0.050792658676
0,9,0.095728707725
0,10,0.074933884437
0,11,0.035985439701
0,12,0.024016207469
0,13,0.049372189529
0,14,0.014902153661
0,15,0.026638274364
0,16,0.042571362019
0,17,0.040587905565
0,18,0.037923807441
0,19,0.073412344948
0,20,0.044340949404
0,21,0.050684847937
0,22,0.046278674383
0,23,0.043338806356
0,24,0.016659727201
0,25,0.004713888082
0,26,0.019988012385
0,27,0.043211866527
0,28,0.043717364488
0,29,0.065072901005
0,30,0.012015901214
0,31,0.016989371953
0,32,0.010539169217
0,33,0.052486587822
0,34,0.013739793274
0,35,0.036743268147
0,36,0.077744235767
0,37,0.012015901214
0,38,0.060493223229
0,39,0.003333277779
0,40,0.040452145387
0,41,0.073412344948
0,42,0.026845132986
0,43,0.023550612327
0,44,0.062523809473
0,45,0.021329179705
0,46,0.067521102091
0,47,0.061118696643
0,48,0.067038995247
0,49,0.050576800250
0,50,0.016989371953
0,51,0.057920806484
0,52,0.046632813156
0,53,0.013739793274
0,54,0.025361411414
0,55,0.006666222273
0,56,0.037190435788
0,57,0.030688384040
0,58,0.037190435788
0,59,0.032944570320
0,60,0.026845132986
0,61,0.014902153661
0,62,0.029959593908
0,63,0.046515074270
0,64,0.023550612327
0,65,0.021067812616
0,66,0.037923807441
0,67,0.076842943942
0,68,0.026845132986
0,69,0.043211866527
0,70,0.055223618793
0,71,0.016989371953
0,72,0.021329179705
0,73,0.057920806484
0,74,0.053107435676
0,75,0.050576800250
0,76,0.031575464607
0,77,0.019425503033
0,78,0.020263384907
0,79,0.058014725884
0,80,0.016659727201
0,81,0.016989371953
0,82,0.016659727201
0,83,0.019425503033
0,84,0.072527606520
0,85,0.063981379151
0,86,0.014902153661
0,87,0.007452938884
0,88,0.033934716703
0,89,0.066227257671
0,90,0.046278674383
0,91,0.078498198953
0,92,0.037190435788
0,93,0.032944570320
0,94,0.040042048635
0,95,0.000000000000
0,96,0.019425503033
0,97,0.037923807441
0,98,0.058667781118
0,99,0.028639127374
0,100,0.037923807441
0,101,0.026845132986
0,102,0.014902153661
0,103,0.026845132986
0,104,0.031400076786
0,105,0.029774578419
0,106,0.023314304535
0,107,0.051540823856
0,108,0.017941880473
0,109,0.014902153661
0,110,0.018846133429
0,111,0.020263384907
0,112,0.043717364488
0,113,0.024016207469
0,114,0.017941880473
0,115,0.016659727201
0,116,0.021329179705
0,117,0.019425503033
0,118,0.009426833626
0,119,0.031575464607
0,120,0.028250400098
0,121,0.051963357931
0,122,0.035831920134
0,123,0.020263384907
0,124,0.003333277779
0,125,0.018846133429
0,126,0.032944570320
0,127,0.046278674383
0,128,0.019425503033
0,129,0.042051779219
0,130,0.033934716703
0,131,0.009998500387
0,132,0.013329779410
0,133,0.007452938884
0,134,0.033443357365
0,135,0.026007743767
0,136,0.027456279150
0,137,0.035367301318
0,138,0.035831920134
0,139,0.067521102091
0,140,0.068237526238
0,141,0.007452938884
0,142,0.065735145131
0,143,0.054024881842
0,144,0.049372189529
0,145,0.028639127374
0,146,0.037190435788
0,147,0.035985439701
0,148,0.033443357365
0,149,0.042571362019
0,150,0.012015901214
0,151,0.050576800250
0,152,0.034258321134
0,153,0.049813701880
0,154,0.007452938884
0,155,0.037190435788
0,156,0.049813701880
0,157,0.056492520731
0,158,0.045199179892
0,159,0.044710828439
0,160,0.064319304396
0,161,0.009998500387
0,162,0.020263384907
0,163,0.020263384907
0,164,0.038785242874
0,165,0.021329179705
0,166,0.021329179705
0,167,0.045199179892
0,168,0.033443357365
0,169,0.033443357365
0,170,0.035985439701
0,171,0.012015901214
0,172,0.040042048635
0,173,0.074933884437
0,174,0.037190435788
0,175,0.040042048635
0,176,0.016659727201
0,177,0.108826892811
0,178,0.016659727201
0,179,0.031575464607
0,180,0.066553204657
0,181,0.028639127374
0,182,0.026638274364
0,183,0.023314304535
0,184,0.016659727201
0,185,0.036743268147
0,186,0.043211866527
0,187,0.046515074270
0,188,0.026007743767
0,189,0.056395964695
0,190,0.063042280284
0,191,0.044340949404
0,192,0.010539169217
0,193,0.027456279150
0,194,0.043338806356
0,195,0.006666222273
0,196,0.060851459032
0,197,0.040042048635
0,198,0.007452938884
0,199,0.023550612327
0,200,0.021067812616
0,201,0.007452938884
0,202,0.009998500387
0,203,0.058760457877
0,204,0.030143461647
0,205,0.007452938884
0,206,0.063726700714
0,207,0.016659727201
0,208,0.050251220189
0,209,0.016989371953
0,210,0.033443357365
0,211,0.057258882242
0,212,0.045199179892
0,213,0.051646791928
0,214,0.031575464607
0,215,0.014902153661
0,216,0.029774578419
0,217,0.060940674301
0,218,0.046984213306
0,219,0.010539169217
0,220,0.041657747755
0,221,0.004713888082
0,222,0.063726700714
0,223,0.024245629638
0,224,0.042571362019
0,225,0.071405273363
0,226,0.036592978005
0,227,0.009998500387
0,228,0.051858057601
0,229,0.050576800250
0,230,0.013329779410
0,231,0.067038995247
0,232,0.007452938884
0,233,0.063641570248
0,234,0.023550612327
0,235,0.057258882242
0,236,0.035985439701
0,237,0.038926929319
0,238,0.056781165788
0,239,0.030688384040
0,240,0.026845132986
0,241,0.043717364488
0,242,0.016989371953
0,243,0.042312385361
0,244,0.043717364488
0,245,0.084079813715
0,246,0.055223618793
0,247,0.026845132986
0,248,0.030688384040
0,249,0.047216988843
1,0,0.028088332296
1,1,0.043321627860
1,2,0.078176257184
1,3,0.047794563245
1,4,0.050570707054
1,5,0.009919576989
1,6,0.016537100005
1,7,0.019343647910
1,8,0.079823552551
1,9,0.044611670948
1,10,0.009919576989
1,11,0.071578253399
1,12,0.057196301734
1,13,0.036321964834
1,14,0.101760688946
1,15,0.029884108310
1,16,0.030803576958
1,17,0.044890220105
1,18,0.019985116935
1,19,0.028760493397
1,20,0.018368149201
1,21,0.017430448177
1,22,0.065265983271
1,23,0.042367376412
1,24,0.021204528290
1,25,0.022844981953
1,26,0.033677924812
1,27,0.035066816682
1,28,0.084047359287
1,29,0.015014837480
1,30,0.036006682494
1,31,0.009852965908
1,32,0.016081774488
1,33,0.009570687962
1,34,0.020262464135
