goal_id,goal_name,action:Z,action:X,action:Y,action:tetra-SIC,pair:Z:0,pair:Z:1,pair:X:0,pair:X:1,pair:Y:0,pair:Y:1,pair:tetra-SIC:0,pair:tetra-SIC:1,pair:tetra-SIC:2,pair:tetra-SIC:3,normalized_steps,success_rate
0,Z0,1.0,0.0,0.0,0.0,0.0625,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5
1,X0,0.0,1.0,0.0,0.0,0.0,0.0,0.07534246575342465,0.9246575342465754,0.0,0.0,0.0,0.0,0.0,0.0,0.48666666666666664,0.55
2,Y0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0,0.0,0.0,0.0,0.5333333333333333,0.5
3,SIC0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19786096256684493,0.40106951871657753,0.24064171122994651,0.16042780748663102,0.31166666666666665,0.925
4,SIC1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23618090452261306,0.19597989949748743,0.3065326633165829,0.2613065326633166,0.33166666666666667,0.975
5,SIC2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28272251308900526,0.2356020942408377,0.2094240837696335,0.27225130890052357,0.31833333333333336,1.0
6,SIC3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863070539419087,0.3112033195020747,0.24896265560165975,0.15352697095435686,0.40166666666666667,0.925
7,Z0_SIC0,0.0,0.0,0.315,0.685,0.0,0.0,0.0,0.0,0.15333333333333332,0.16166666666666665,0.195,0.18166666666666667,0.12666666666666668,0.18166666666666667,1.0,0.0
8,SIC0_X0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.2683333333333333,0.265,0.245,0.22166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
