goal,Z0,X0,Y0,SIC0,SIC1,SIC2,SIC3,Z0_SIC0,SIC0_X0
Z0,0.0,0.38084572615603157,0.5794814590410164,0.49661768169535275,0.45040447522014676,0.41668415049181307,0.39557453668574893,0.3270634463773015,0.1974738706052637
X0,0.38084572615603157,0.0,0.41119757568658355,0.5740346452650067,0.5020074642116028,0.48357232912458803,0.4534365577814163,0.2692367640115782,0.19358636717141534
Y0,0.5794814590410164,0.41119757568658355,0.0,0.6804774384766743,0.5879710498924472,0.5856419611899361,0.5665374301534424,0.374086192901814,0.4676013868064884
SIC0,0.49661768169535275,0.5740346452650067,0.6804774384766743,0.0,0.12506929899296054,0.1361537730224531,0.1639538523428102,0.4067026689614027,0.5132576717937755
SIC1,0.45040447522014676,0.5020074642116028,0.5879710498924472,0.12506929899296054,0.0,0.040783185418085004,0.06778230307594317,0.3047454457690881,0.4438465175508276
SIC2,0.41668415049181307,0.48357232912458803,0.5856419611899361,0.1361537730224531,0.040783185418085004,0.0,0.03725401454348294,0.2858545472399913,0.41492717638840526
SIC3,0.39557453668574893,0.4534365577814163,0.5665374301534424,0.1639538523428102,0.06778230307594317,0.03725401454348294,0.0,0.25532947574936554,0.38484585838378493
Z0_SIC0,0.3270634463773015,0.2692367640115782,0.374086192901814,0.4067026689614027,0.3047454457690881,0.2858545472399913,0.25532947574936554,0.0,0.22314928531954106
SIC0_X0,0.1974738706052637,0.19358636717141534,0.4676013868064884,0.5132576717937755,0.4438465175508276,0.41492717638840526,0.38484585838378493,0.22314928531954106,0.0
