goal_id,goal_name,predicted_steps,empirical_steps_success,success_rate
0,Z0,3.4940168857574463,1.0,0.5
1,X0,3.364424467086792,1.0,0.55
2,Y0,3.223546028137207,1.0,0.5
3,SIC0,4.105218410491943,3.8378378378378377,0.925
4,SIC1,4.073036193847656,4.717948717948718,0.975
5,SIC2,3.951047658920288,4.775,1.0
6,SIC3,3.5621914863586426,5.297297297297297,0.925
7,Z0_SIC0,3.6144137382507324,nan,0.0
8,SIC0_X0,3.8012332916259766,nan,0.0
