run_id,environment,initial_state,backend,seed,phase,goal_id,goal_name,episodes,success_rate,mean_steps_success,mean_reward
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,training,6,weakZ0_Z0,50,0.52,7.615384615384615,5.6996
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,training,-1,OVERALL,400,0.8,5.0,8.26625
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,evaluation,0,Z0,100,0.98,4.836734693877551,9.759400000000001
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,evaluation,1,Z1,100,1.0,1.0,10.0
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,evaluation,2,X0,100,1.0,3.96,9.9704
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,evaluation,3,X1,100,0.96,3.34375,9.5715
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,evaluation,4,Z0_X0,100,0.94,6.468085106382978,10.349599999999999
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,evaluation,5,X0_Z0,100,0.98,6.489795918367347,10.753200000000001
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,evaluation,6,weakZ0_Z0,100,0.45,6.5777777777777775,4.846900000000001
qubit-zx-weak__one__gru__seed0,qubit-zx-weak,one,gru,0,evaluation,-1,OVERALL,700,0.9014285714285715,4.486529318541997,9.32157142857143
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,training,0,Z0,55,0.9090909090909091,5.18,9.03927272727273
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,training,1,Z1,64,0.96875,1.596774193548387,9.67703125
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,training,2,X0,57,1.0,3.754385964912281,9.972456140350879
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,training,3,X1,54,0.9629629629629629,3.0384615384615383,9.604444444444445
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,training,4,Z0_X0,62,0.8225806451612904,7.9411764705882355,9.070645161290326
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,training,5,X0_Z0,53,0.9056603773584906,6.645833333333333,9.925094339622643
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,training,6,weakZ0_Z0,55,0.21818181818181817,10.333333333333334,2.264545454545454
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,training,-1,OVERALL,400,0.83,4.753012048192771,8.5413
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,evaluation,0,Z0,100,1.0,4.88,9.961200000000003
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,evaluation,1,Z1,100,1.0,1.0,10.0
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,evaluation,2,X0,100,1.0,3.0,9.98
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,evaluation,3,X1,100,0.98,2.8469387755102042,9.7789
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,evaluation,4,Z0_X0,100,0.98,6.3061224489795915,10.754999999999997
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,evaluation,5,X0_Z0,100,0.97,5.402061855670103,10.662799999999999
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,evaluation,6,weakZ0_Z0,100,0.0,nan,-0.15
qubit-zx-weak__one__gru__seed1,qubit-zx-weak,one,gru,1,evaluation,-1,OVERALL,700,0.8471428571428572,3.893760539629005,8.712557142857143
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,training,0,Z0,62,0.8064516129032258,6.0,7.995161290322581
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,training,1,Z1,65,1.0,1.7230769230769232,9.99276923076923
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,training,2,X0,46,0.8913043478260869,3.926829268292683,8.870652173913044
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,training,3,X1,63,0.9365079365079365,3.9661016949152543,9.32777777777778
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,training,4,Z0_X0,64,0.796875,7.352941176470588,8.7871875
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,training,5,X0_Z0,50,0.74,7.0,8.1852
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,training,6,weakZ0_Z0,50,0.56,8.678571428571429,6.157600000000001
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,training,-1,OVERALL,400,0.8275,5.087613293051359,8.551124999999999
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,evaluation,0,Z0,100,1.0,4.96,9.960400000000002
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,evaluation,1,Z1,100,1.0,1.0,10.0
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,evaluation,2,X0,100,1.0,2.98,9.980200000000002
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,evaluation,3,X1,100,0.98,2.9591836734693877,9.777800000000001
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,evaluation,4,Z0_X0,100,0.95,6.136842105263158,10.4537
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,evaluation,5,X0_Z0,100,0.98,6.346938775510204,10.7546
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,evaluation,6,weakZ0_Z0,100,0.29,6.0344827586206895,3.0718000000000014
qubit-zx-weak__one__multi-gru__seed0,qubit-zx-weak,one,multi-gru,0,evaluation,-1,OVERALL,700,0.8857142857142857,4.135483870967742,9.142642857142858
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,training,0,Z0,55,0.9090909090909091,5.9,9.032727272727273
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,training,1,Z1,64,0.96875,1.8709677419354838,9.674375000000001
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,training,2,X0,57,0.9298245614035088,4.283018867924528,9.257192982456141
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,training,3,X1,54,0.9629629629629629,3.6153846153846154,9.59888888888889
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,training,4,Z0_X0,62,0.7096774193548387,6.7272727272727275,7.908548387096774
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,training,5,X0_Z0,53,0.8301886792452831,6.954545454545454,9.179811320754718
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,training,6,weakZ0_Z0,55,0.2545454545454545,9.214285714285714,2.7616363636363634
