goal,Z0,Z1,Z2,F0,F1,Z0_F0,F0_Z0,Z0_F0_P0
Z0,0.0,2.838466435857888,2.699179525540275,1.9601099638276345,3.2380182455814404,3.3496231340756455,2.898871262903371,2.1950833069229643
Z1,2.838466435857888,0.0,4.281568204313581,3.3591899598082255,4.762505614933136,4.2678302553442435,2.5597328352286985,3.8660863902373515
Z2,2.699179525540275,4.281568204313581,0.0,3.1343851497103516,2.7307206686284444,2.9833884190256152,3.080240853851643,2.219057542649092
F0,1.9601099638276345,3.3591899598082255,3.1343851497103516,0.0,2.799312925189152,2.2189690581195496,3.822977025609554,1.7629252805279887
F1,3.2380182455814404,4.762505614933136,2.7307206686284444,2.799312925189152,0.0,2.9235976766424137,4.5811038681863305,2.539533487185419
Z0_F0,3.3496231340756455,4.2678302553442435,2.9833884190256152,2.2189690581195496,2.9235976766424137,0.0,4.4369771185712406,2.001070923260378
F0_Z0,2.898871262903371,2.5597328352286985,3.080240853851643,3.822977025609554,4.5811038681863305,4.4369771185712406,0.0,3.313025811389761
Z0_F0_P0,2.1950833069229643,3.8660863902373515,2.219057542649092,1.7629252805279887,2.539533487185419,2.001070923260378,3.313025811389761,0.0
