source,A,B,C,D,E,F,G,H,I
A,0.0,1.0,11.42,1.0,3.16,11.77,11.9,11.75,11.74
B,1.0,0.0,1.0,11.49,1.0,4.35,11.04,11.71,11.9
C,11.39,1.0,0.0,11.7,3.9400000000000004,1.0,11.79,11.67,11.52
D,1.0,10.84,11.65,0.0,1.0,11.72,11.65,4.33,11.88
E,3.87,1.0,4.4,1.0,0.0,11.76,11.36,10.14,3.7800000000000002
F,11.78,4.74,1.0,11.63,1.0,0.0,11.82,4.89,1.0
G,11.67,11.41,11.48,1.0,10.76,11.85,0.0,1.0,11.64
H,11.7,11.64,11.73,10.97,1.0,11.76,1.0,0.0,1.0
I,11.91,11.85,11.81,11.78,11.29,1.0,11.37,2.0,0.0
