source,A,B,C,D,E,F,G,H,I
A,0.0,1.0,2.0,1.0,1.44,2.34,2.0,2.4,3.42
B,1.0,0.0,1.0,1.4100000000000001,1.0,2.0,2.27,2.0,3.84
C,2.0,1.0,0.0,2.3,1.4900000000000002,1.0,2.74,2.28,3.3499999999999996
D,1.0,1.25,2.43,0.0,1.0,2.0,1.0,1.38,2.43
E,1.4700000000000002,1.0,1.4100000000000001,2.32,0.0,1.0,1.3399999999999999,1.0,2.0
F,2.38,1.42,1.0,2.79,1.0,0.0,2.34,1.4,2.45
G,2.0,2.45,3.3499999999999996,1.0,1.44,2.4,0.0,1.0,2.0
H,2.41,2.0,2.42,1.42,1.0,1.33,1.0,0.0,1.0
I,3.3099999999999996,2.26,2.0,3.7300000000000004,1.4900000000000002,1.0,2.0,1.0,0.0
