design,stress_1d,stress_2d,stress_3d,positive_variance_2d,negative_spectrum_fraction,coordinate_procrustes_r2,euclidean_distance_correlation
optimized-diagonal,0.430530432337324,0.0365493418390876,0.036005254107316344,0.934278680724477,0.08099595885224589,0.9999493860349754,0.9949575343041132
cardinal-only,0.46031109579235724,0.14155329994173013,0.14131622806534952,0.8620405080818301,0.2173007238098713,0.9999789258048312,0.9477127320338162
