run_id,environment,seed,training_success,center_success,pair_success,exact_cost_correlation,directionality,stress_1d,stress_2d,stress_3d,positive_variance_2d,negative_spectrum_fraction,coordinate_procrustes_r2,euclidean_distance_correlation
qudit-grid-3x3__tabular__seed0,qudit-grid-3x3,0,0.949,1.0,1.0,0.933694355226975,0.16356648731744816,0.3788769493296508,0.05902635586571312,0.05764669314328813,0.9343608246115757,0.10533864818263342,0.9710681126031031,0.9342046414892183
qudit-grid-3x3__tabular__seed1,qudit-grid-3x3,1,0.9525,1.0,1.0,0.9392126832731909,0.10678847062529537,0.37629992693013603,0.08104359423070716,0.07653635871721255,0.8805545290902455,0.12188322371619265,0.9803473733065768,0.9385567250658544
qudit-grid-3x3__tabular__seed2,qudit-grid-3x3,2,0.9498333333333333,1.0,1.0,0.9334936121169878,0.09534229446702097,0.3593240649512081,0.07259605988701603,0.05835800323517993,0.8567535650099959,0.09662979267336472,0.9749115278057424,0.9433253559316207
qudit-grid-3x3-blind__tabular__seed0,qudit-grid-3x3-blind,0,0.31316666666666665,0.6211111111111111,0.49382716049382713,0.8580128112667922,0.2111906072280316,0.4569894202514215,0.24368654722267466,0.24365371543116066,0.7799142843675935,0.21332890692956016,0.9524091546931985,0.8602608063843026
qudit-grid-3x3-blind__tabular__seed1,qudit-grid-3x3-blind,1,0.3225,0.6911111111111111,0.49629629629629635,0.8759673581776957,0.2085880478678078,0.4884661596691021,0.25864582323831337,0.25619083274245574,0.7663619337764356,0.21213566191132716,0.9711045252975661,0.878323011298345
qudit-grid-3x3-blind__tabular__seed2,qudit-grid-3x3-blind,2,0.27516666666666667,0.4988888888888888,0.45567901234567904,0.8595761932426075,0.3716893559017893,0.4046654255043871,0.19653829358012273,0.18512350130258357,0.7745367081724318,0.17856053436615887,0.9705435272764551,0.8601369502380656
qudit-grid-3x3-cardinal__tabular__seed0,qudit-grid-3x3-cardinal,0,0.952,1.0,1.0,1.0,0.0,0.46031109579235724,0.14155329994173013,0.14131622806534952,0.8620405080818301,0.2173007238098713,0.9999789258048312,0.9477127320338162
qudit-grid-3x3-cardinal__tabular__seed1,qudit-grid-3x3-cardinal,1,0.9541666666666667,1.0,1.0,1.0,0.0,0.46031109579235724,0.14155329994173013,0.14131622806534952,0.8620405080818301,0.2173007238098713,0.9999789258048312,0.9477127320338162
qudit-grid-3x3-cardinal__tabular__seed2,qudit-grid-3x3-cardinal,2,0.9513333333333334,1.0,1.0,1.0,0.0,0.46031109579235724,0.14155329994173013,0.14131622806534952,0.8620405080818301,0.2173007238098713,0.9999789258048312,0.9477127320338162
