source,A,B,C,D,E,F,G,H,I
A,0.0,1.0,2.0,1.0,1.3986013986013985,2.3986013986013983,2.0,2.3986013986013983,2.797202797202797
B,1.0,0.0,1.0,1.3986013986013985,1.0,1.3986013986013985,2.3986013986013983,2.0,2.3986013986013983
C,2.0,1.0,0.0,2.3986013986013983,1.3986013986013985,1.0,2.797202797202797,2.3986013986013983,2.0
D,1.0,1.3986013986013985,2.3986013986013983,0.0,1.0,2.0,1.0,1.3986013986013985,2.3986013986013983
E,1.3986013986013985,1.0,1.3986013986013985,1.0,0.0,1.0,1.3986013986013985,1.0,1.3986013986013985
F,2.3986013986013983,1.3986013986013985,1.0,2.0,1.0,0.0,2.3986013986013983,1.3986013986013985,1.0
G,2.0,2.3986013986013983,2.797202797202797,1.0,1.3986013986013985,2.3986013986013983,0.0,1.0,2.0
H,2.3986013986013983,2.0,2.3986013986013983,1.3986013986013985,1.0,1.3986013986013985,1.0,0.0,1.0
I,2.797202797202797,2.3986013986013983,2.0,2.3986013986013983,1.3986013986013985,1.0,2.0,1.0,0.0
