source,A,B,C,D,E,F,G,H,I
A,0.0,1.0,2.72,1.0,1.42,2.34,2.0,2.43,2.7
B,1.0,0.0,1.0,1.3900000000000001,1.0,1.44,2.4,2.0,2.43
C,2.0,1.0,0.0,2.35,1.4900000000000002,1.0,2.74,2.28,2.91
D,1.0,1.25,2.41,0.0,1.0,2.0,1.0,2.0,2.38
E,1.4700000000000002,2.4,1.44,1.0,0.0,1.0,1.3399999999999999,1.0,1.3599999999999999
F,2.39,1.42,1.0,2.0,1.0,0.0,2.44,1.4,1.0
G,2.0,2.41,2.63,1.0,1.44,2.4,0.0,1.0,2.0
H,2.42,2.97,2.44,1.42,1.0,1.33,1.0,0.0,1.0
I,3.33,3.79,2.86,2.31,1.4900000000000002,1.0,2.0,1.0,0.0
