source,A,B,C,D,E,F,G,H,I
A,0.0,1.0,2.0,1.0,1.4300000000000002,2.33,2.96,2.43,3.42
B,1.0,0.0,1.0,1.4,1.0,1.44,2.28,2.0,2.47
C,2.76,1.0,0.0,2.35,1.48,1.0,2.73,2.28,2.0
D,1.0,2.0,2.41,0.0,1.0,2.0,2.5,1.38,2.42
E,1.4900000000000002,1.0,1.44,1.0,0.0,1.0,1.35,1.0,2.0
F,2.38,1.42,1.0,2.0,1.0,0.0,2.42,1.4,1.0
G,3.0700000000000003,2.46,3.3499999999999996,1.0,1.4300000000000002,2.4,0.0,1.0,2.0
H,2.38,2.0,2.41,1.42,1.0,1.33,1.0,0.0,1.0
I,2.76,2.4,2.87,2.31,2.0,1.0,2.0,1.0,0.0
