source,A,B,C,D,E,F,G,H,I
A,0.0,11.43,11.65,1.0,11.51,11.56,11.31,11.68,11.83
B,1.0,0.0,1.0,5.09,9.91,4.21,11.59,11.7,11.75
C,11.76,9.81,0.0,11.78,3.7199999999999998,1.0,11.69,11.96,11.03
D,1.0,3.21,11.77,0.0,1.0,11.81,1.0,11.61,11.61
E,10.84,1.0,11.63,10.73,0.0,10.81,4.06,1.0,10.99
F,11.79,11.66,1.0,11.76,1.0,0.0,11.63,11.42,1.0
G,11.86,11.59,11.86,1.0,4.03,11.6,0.0,10.27,11.91
H,11.59,11.34,11.75,4.01,9.27,3.8899999999999997,1.0,0.0,1.0
I,11.81,11.91,11.67,11.7,4.39,1.0,11.82,1.0,0.0
