diagonal_success,objective,stress_1d,stress_2d,stress_3d,positive_variance_2d,negative_spectrum_fraction,coordinate_procrustes_r2,euclidean_distance_correlation
0.55,0.1269962229563623,0.4499585646977041,0.10810108120757003,0.10806065404288696,0.881246570800211,0.18894389013625632,0.9999969890593335,0.967557998026252
0.555,0.12352254725874684,0.4490521336787886,0.10492961382108991,0.10490085403103028,0.8832029020754619,0.185924046148657,0.9999978847088351,0.9692716367996872
0.56,0.12007966278963807,0.4481681613576547,0.10179222248698946,0.10177338823415874,0.8851628834077582,0.18287095473836795,0.9999986206847528,0.9709335753934065
0.5650000000000001,0.11666845093431995,0.4473064007182178,0.09868977356259175,0.09867907857659332,0.8871257138274615,0.17978476973893176,0.9999991984086599,0.972543273660915
0.5700000000000001,0.11328990005715267,0.4464666033028782,0.09562323721786818,0.09561890611257595,0.8890905676946207,0.17666567660786767,0.9999996192860091,0.9741002154997307
0.5750000000000001,0.10994511933697246,0.44564851936503425,0.09259370123714057,0.09259370123714054,0.891056596686679,0.17351389276437496,0.9999998847064224,0.9756039094800362
0.5800000000000001,0.10663535456758236,0.40135908046717733,0.08960238681699996,0.08960238681699997,0.8930229322457847,0.17032966761552285,0.9999999960438796,0.9770538894429114
0.5850000000000001,0.10336200621904477,0.4012184916687472,0.08665066666045505,0.08665066666045507,0.8949886885121512,0.1671132822283489,0.9999999546569807,0.9784497150666405
0.5900000000000001,0.100126650093775,0.4433220347304794,0.08374008570533369,0.08374008570533367,0.896952965762188,0.16386504860719778,0.9999997618891139,0.9797909723996522
0.5950000000000001,0.09693106094959701,0.44258828661855754,0.08087238486284298,0.08087238486284302,0.8989148543601029,0.160585308539322,0.9999994190687127,0.98107727435876
0.6000000000000001,0.09377723949702373,0.4418749890332305,0.07804952817662794,0.07804952817662801,0.9008734392193538,0.1572744319775383,0.9999989275094322,0.9823082611914186
0.605,0.09066744320430728,0.4411818875190082,0.0752737338382293,0.07527373383822933,0.9028278047558285,0.15393281493670716,0.999998288510371,0.983483600900835
