goal_id,progress,place,action,q_value
0,0,0,0,8.412361810519133
0,0,0,1,6.896539298444743
0,0,0,2,7.762293476673862
0,0,0,3,8.198241600604154
0,0,0,4,9.999999999999993
0,0,1,0,3.798159328994813
0,0,1,1,3.3503197628758485
0,0,1,2,3.98973675462519
0,0,1,3,9.48999909672246
0,0,1,4,5.377144507072365
0,0,2,0,1.4228779356980041
0,0,2,1,0.7786134166528891
0,0,2,2,0.6784921573781353
0,0,2,3,9.002954462539197
0,0,2,4,2.093047922941736
0,0,3,0,9.489999999999984
0,0,3,1,6.490490530928352
0,0,3,2,5.029944621631759
0,0,3,3,6.7495664528683905
0,0,3,4,4.706023969509973
0,0,4,0,5.1032122623894
0,0,4,1,3.8211109183172205
0,0,4,2,2.6868699632793964
0,0,4,3,9.005499999992383
0,0,4,4,3.109605593978859
0,0,5,0,1.411666622390876
0,0,5,1,1.711783495652923
0,0,5,2,0.7678172531041362
0,0,5,3,8.545205008541886
0,0,5,4,1.8593168844456969
0,0,6,0,9.002676713915791
0,0,6,1,1.3255705253350256
0,0,6,2,1.2142034070836232
0,0,6,3,3.2016721178743017
0,0,6,4,1.7799246461055702
0,0,7,0,8.53892836457825
0,0,7,1,0.5954767798759781
0,0,7,2,2.5036797868538727
0,0,7,3,1.4475001358579866
0,0,7,4,0.7342480044296834
0,0,8,0,8.042935988545286
0,0,8,1,0.7697398876479928
0,0,8,2,1.6456623048000496
0,0,8,3,0.7932124747862109
0,0,8,4,0.8069844661349539
0,0,,0,0.0
0,0,,1,0.0
0,0,,2,0.0
0,0,,3,0.0
0,0,,4,0.0
1,0,0,0,7.248988919317009
1,0,0,1,9.489999999997073
1,0,0,2,5.692736870410341
1,0,0,3,5.026490141654331
1,0,0,4,6.882166278864347
1,0,1,0,8.925952729304603
1,0,1,1,7.413251125574701
1,0,1,2,8.59788048330357
1,0,1,3,8.67123251253747
1,0,1,4,9.999999999999993
1,0,2,0,4.2317747111364845
1,0,2,1,4.605823493031375
1,0,2,2,2.9957809439671217
1,0,2,3,9.489851863845827
1,0,2,4,2.723350255645492
1,0,3,0,9.005499699629517
1,0,3,1,3.6661948685172714
1,0,3,2,3.274315802435912
1,0,3,3,4.946978012480763
1,0,3,4,3.6217454904467563
1,0,4,0,9.48999999999979
1,0,4,1,5.307045487411383
1,0,4,2,3.272206375039377
1,0,4,3,6.842943745498734
1,0,4,4,6.783076519936184
1,0,5,0,4.987139001896309
1,0,5,1,3.5929530142471937
1,0,5,2,1.9552527420296522
1,0,5,3,9.005497586164719
1,0,5,4,3.86295610831245
1,0,6,0,8.539661707647515
1,0,6,1,2.0831592035142874
1,0,6,2,1.4878149105281053
1,0,6,3,2.222793339227233
1,0,6,4,0.5890995128566449
1,0,7,0,8.998582722786564
1,0,7,1,0.8854378807412128
1,0,7,2,1.3238160063279625
1,0,7,3,1.0114724905311854
1,0,7,4,0.9223100673771969
1,0,8,0,8.519600123910497
1,0,8,1,0.5705467080561812
1,0,8,2,1.2139994753297823
1,0,8,3,1.2798575581698852
1,0,8,4,0.8091063103690709
1,0,,0,0.0
1,0,,1,0.0
1,0,,2,0.0
1,0,,3,0.0
1,0,,4,0.0
2,0,0,0,2.925207358520514
2,0,0,1,9.003673005383359
2,0,0,2,1.020355684039936
2,0,0,3,2.383655043423233
2,0,0,4,3.4129580995034736
2,0,1,0,8.233069269197392
2,0,1,1,9.489999999999984
2,0,1,2,6.453532697307776
2,0,1,3,5.388602136189824
2,0,1,4,8.106534072616636
2,0,2,0,8.705594033525417
2,0,2,1,9.127403114422094
2,0,2,2,8.416174966354157
2,0,2,3,8.675383811531368
2,0,2,4,9.999999999999993
2,0,3,0,2.1589687426701767
2,0,3,1,8.540351540805474
2,0,3,2,0.776128412822842
2,0,3,3,0.08704266577960271
2,0,3,4,2.3005721075685797
2,0,4,0,9.005499999998793
2,0,4,1,6.854073717439136
2,0,4,2,4.301127541311971
2,0,4,3,2.072339553728167
2,0,4,4,5.364709303514971
2,0,5,0,9.489999958285019
2,0,5,1,5.5313551377901895
2,0,5,2,2.518931277355364
2,0,5,3,4.655792927221317
2,0,5,4,3.474583376613893
2,0,6,0,2.8131502498838747
2,0,6,1,8.104038454673203
2,0,6,2,0.9116030661068177
2,0,6,3,0.42638284573062407
2,0,6,4,-0.0030162697704068657
2,0,7,0,8.545223563910717
2,0,7,1,2.5761017250408766
2,0,7,2,2.8093727630278567
2,0,7,3,1.1422866986075002
2,0,7,4,2.2974370455406556
2,0,8,0,9.004422215156913
2,0,8,1,3.3666987326167623
2,0,8,2,3.4849082219256613
2,0,8,3,0.6435652728654235
2,0,8,4,2.55162753210213
2,0,,0,0.0
2,0,,1,0.0
2,0,,2,0.0
2,0,,3,0.0
2,0,,4,0.0
3,0,0,0,5.168891928797358
3,0,0,1,1.681472798955462
3,0,0,2,9.489849901643328
3,0,0,3,3.803808870858038
3,0,0,4,5.229644138297729
3,0,1,0,1.9530482528258972
3,0,1,1,1.5801376673349399
3,0,1,2,9.004908947211986
3,0,1,3,1.306310802836314
3,0,1,4,2.489166266494426
3,0,2,0,1.7039673670020008
3,0,2,1,1.9148387726648544
3,0,2,2,8.540868976906761
3,0,2,3,3.191859129642748
3,0,2,4,1.0725546796466572
3,0,3,0,8.208789776293482
3,0,3,1,7.262085623052576
3,0,3,2,8.381106265814445
3,0,3,3,9.08635440569114
3,0,3,4,9.999999999999993
3,0,4,0,5.139176553791159
3,0,4,1,5.64135153977788
3,0,4,2,5.4287522870048965
3,0,4,3,9.489999999999911
3,0,4,4,6.156330551740885
3,0,5,0,1.3957054870279304
3,0,5,1,2.72121349056094
3,0,5,2,2.705115223688735
3,0,5,3,9.005498096331461
3,0,5,4,3.335553607069839
3,0,6,0,9.489999999893248
3,0,6,1,3.9169604749005984
3,0,6,2,7.711187820328278
3,0,6,3,7.061091014526691
3,0,6,4,6.557362078801793
3,0,7,0,4.87860050238755
