source,A,B,C,D,E,F,G,H,I
A,0.0,10.57,11.94,1.0,3.29,11.84,11.75,11.5,11.9
B,1.0,0.0,1.0,4.79,1.0,11.48,11.75,11.65,11.71
C,11.59,1.0,0.0,11.9,10.22,1.0,11.8,11.84,11.61
D,1.0,10.51,11.9,0.0,1.0,11.68,1.0,4.42,11.75
E,11.75,1.0,10.87,1.0,0.0,1.0,4.11,1.0,9.92
F,11.24,3.9699999999999998,1.0,11.65,1.0,0.0,11.9,5.04,1.0
G,11.85,11.76,11.8,9.65,4.1,11.9,0.0,1.0,11.86
H,11.72,11.67,11.55,3.91,1.0,3.91,1.0,0.0,10.56
I,11.81,11.76,11.65,11.47,11.28,1.0,10.77,1.0,0.0
