goal_id,progress,place,action,q_value
0,0,0,0,8.996343732445748
0,0,0,1,7.965943707521486
0,0,0,2,8.336660362939798
0,0,0,3,9.241719639800452
0,0,0,4,9.999999999999993
0,0,1,0,5.6047675359973645
0,0,1,1,5.124022119909495
0,0,1,2,4.987168282943282
0,0,1,3,9.48999999999969
0,0,1,4,5.267451473815868
0,0,2,0,6.296911247180097
0,0,2,1,4.913720983120789
0,0,2,2,2.9468049905737685
0,0,2,3,9.005499999156294
0,0,2,4,5.780056335642216
0,0,3,0,9.489999999999952
0,0,3,1,5.42816396490113
0,0,3,2,6.405123195233271
0,0,3,3,6.148809319820931
0,0,3,4,6.984181294236416
0,0,4,0,3.5000361946323837
0,0,4,1,3.925215357754997
0,0,4,2,1.3081957314795596
0,0,4,3,9.005498237745162
0,0,4,4,2.8803224518202017
0,0,5,0,8.54522010083463
0,0,5,1,3.2532839223608208
0,0,5,2,1.9569781333091727
0,0,5,3,2.8410677702803024
0,0,5,4,2.5381467570261025
0,0,6,0,9.0053651063398
0,0,6,1,1.088020403068429
0,0,6,2,2.3121275852997814
0,0,6,3,1.4590643041535845
0,0,6,4,2.4193413447748684
0,0,7,0,8.537376350908321
0,0,7,1,0.7473878242539191
0,0,7,2,0.2703812126534171
0,0,7,3,1.5989276765714615
0,0,7,4,1.3018209540249783
0,0,8,0,8.099240633994373
0,0,8,1,0.6533951302704185
0,0,8,2,0.10608339925059096
0,0,8,3,1.4656988949619474
0,0,8,4,0.7977030961692266
0,0,,0,0.0
0,0,,1,0.0
0,0,,2,0.0
0,0,,3,0.0
0,0,,4,0.0
1,0,0,0,4.655121856896511
1,0,0,1,9.489999997088935
1,0,0,2,3.57959847695148
1,0,0,3,4.970869035897786
1,0,0,4,6.621527442020391
1,0,1,0,8.69712527898853
1,0,1,1,7.756882405378103
1,0,1,2,7.80561086520423
1,0,1,3,7.780648999741007
1,0,1,4,9.999999999999993
1,0,2,0,1.8888548236913625
1,0,2,1,1.8706094248636547
1,0,2,2,2.2633565247751966
1,0,2,3,9.489878172799441
1,0,2,4,1.1664826678208573
1,0,3,0,9.005490716029433
1,0,3,1,5.540371717682736
1,0,3,2,1.182748760585487
1,0,3,3,3.034779655244157
1,0,3,4,4.019998287172508
1,0,4,0,9.489999999992737
1,0,4,1,4.357517324359163
1,0,4,2,4.418985516924726
1,0,4,3,4.043061717096116
1,0,4,4,4.5844666157849
1,0,5,0,4.008072352350405
1,0,5,1,2.520363877965787
1,0,5,2,2.3931585506485424
1,0,5,3,9.005480209542345
1,0,5,4,0.7697937523605597
1,0,6,0,8.530371971215681
1,0,6,1,1.6252817909003547
1,0,6,2,1.999383142839955
1,0,6,3,0.5162411361524689
1,0,6,4,1.3293990125229018
1,0,7,0,8.993100667495105
1,0,7,1,0.43082707279901433
1,0,7,2,1.0452125187809884
1,0,7,3,0.7573655781947148
1,0,7,4,2.7096145657800648
1,0,8,0,8.515457324545098
1,0,8,1,1.1900516496333104
1,0,8,2,0.9264890128976897
1,0,8,3,1.0566870254713352
1,0,8,4,0.003140324256894164
1,0,,0,0.0
1,0,,1,0.0
1,0,,2,0.0
1,0,,3,0.0
1,0,,4,0.0
2,0,0,0,0.39791521668821533
2,0,0,1,9.001800765226704
2,0,0,2,1.9740810033867653
2,0,0,3,1.9886407396722687
2,0,0,4,2.1233611189848363
2,0,1,0,6.43901423012307
2,0,1,1,9.489999999999984
2,0,1,2,6.391887961755607
2,0,1,3,5.829282613414411
2,0,1,4,7.80714759059026
2,0,2,0,8.662263740208607
2,0,2,1,8.81043686583226
2,0,2,2,8.08797095985347
2,0,2,3,7.67482927119897
2,0,2,4,9.999999999999993
2,0,3,0,1.9731383933674826
2,0,3,1,8.537806580596708
2,0,3,2,0.2402622135908124
2,0,3,3,0.36205534933315686
2,0,3,4,1.05694263881198
2,0,4,0,9.00549999998606
2,0,4,1,6.3354056621772035
2,0,4,2,3.1408287310837166
2,0,4,3,3.6446286426917616
2,0,4,4,5.982354690566844
2,0,5,0,9.489999916769156
2,0,5,1,5.0683008202841835
2,0,5,2,4.366996462997561
2,0,5,3,4.303216270220437
2,0,5,4,4.107679616216265
2,0,6,0,1.5349963567304208
2,0,6,1,8.08191189569749
2,0,6,2,0.35422107765928856
2,0,6,3,0.1115342162676548
2,0,6,4,0.5177772469286361
2,0,7,0,8.545213093320532
2,0,7,1,1.1872344605761649
2,0,7,2,2.295546849823512
2,0,7,3,1.610211504869615
2,0,7,4,2.2905469428901877
2,0,8,0,9.004544404322242
2,0,8,1,0.9964819020893909
2,0,8,2,2.6017178965470587
2,0,8,3,1.382090183503852
2,0,8,4,0.9431776364516774
2,0,,0,0.0
2,0,,1,0.0
2,0,,2,0.0
2,0,,3,0.0
2,0,,4,0.0
3,0,0,0,4.015639072068452
3,0,0,1,3.944960402641124
3,0,0,2,9.488559226829885
3,0,0,3,1.344679509864955
3,0,0,4,0.9934432316941315
3,0,1,0,1.9914736311626
3,0,1,1,1.6774697114000152
3,0,1,2,9.004462857382588
3,0,1,3,3.9612173277355307
3,0,1,4,2.781662596636892
3,0,2,0,2.173949569889776
3,0,2,1,1.4234178922895553
3,0,2,2,8.537229755210909
3,0,2,3,2.7265304224379734
3,0,2,4,0.9614448540284489
3,0,3,0,7.35948584274145
3,0,3,1,7.907425195531298
3,0,3,2,7.644495584867483
3,0,3,3,8.643475459007119
3,0,3,4,9.999999999999993
3,0,4,0,6.275594505562527
3,0,4,1,6.950547900098311
3,0,4,2,6.099183980981294
3,0,4,3,9.489999999999984
3,0,4,4,7.815508737933043
3,0,5,0,2.294309906241597
3,0,5,1,4.919965535454968
3,0,5,2,4.084762522258019
3,0,5,3,9.00549999707986
3,0,5,4,3.5653881809290313
3,0,6,0,9.489639870074463
3,0,6,1,2.4736931089892007
3,0,6,2,2.80111474669823
3,0,6,3,3.7675898338905367
3,0,6,4,3.97327809607386
3,0,7,0,9.003832522791303
3,0,7,1,1.835725748088743
3,0,7,2,0.01383792349135
3,0,7,3,3.439242867241539
3,0,7,4,1.1855676768250232
3,0,8,0,8.53888329889607
3,0,8,1,1.5806816458395896
3,0,8,2,3.786952025545901
3,0,8,3,2.0950783552090386
3,0,8,4,1.3232155691458916
3,0,,0,0.0
3,0,,1,0.0
3,0,,2,0.0
3,0,,3,0.0
3,0,,4,0.0
4,0,0,0,2.384734831401911
4,0,0,1,9.00467159214921
4,0,0,2,3.2005934149686652
4,0,0,3,1.2884784400383702
4,0,0,4,2.237122033145465
4,0,1,0,6.596974634064881
4,0,1,1,1.889508818493783
4,0,1,2,9.489999999989136
4,0,1,3,4.968332331557287
4,0,1,4,5.483231021496753
4,0,2,0,1.7302530760369716
4,0,2,1,0.43176800122248254
4,0,2,2,3.2109629044850347
4,0,2,3,8.997461653530115
4,0,2,4,1.5341312441975867
4,0,3,0,2.9952576645569606
4,0,3,1,9.489704270941411
4,0,3,2,4.632005012261113
4,0,3,3,3.488903984907732
4,0,3,4,4.5443397049991825
4,0,4,0,7.098957109263806
4,0,4,1,7.440192371733706
4,0,4,2,8.185943309980022
4,0,4,3,7.787686212315173
4,0,4,4,9.999999999999993
4,0,5,0,1.6315783364961929
4,0,5,1,4.670338599569925
4,0,5,2,0.30069809789987345
4,0,5,3,9.489796470043835
4,0,5,4,2.408082314822404
4,0,6,0,2.2774921779657737
