source,A,B,C,D,E,F,G,H,I
A,1.0,0.17,0.02,1.0,0.81,0.04,0.04,0.09,0.02
B,1.0,1.0,1.0,0.68,1.0,0.11,0.05,0.07,0.04
C,0.09,1.0,1.0,0.02,0.22,1.0,0.05,0.03,0.09
D,1.0,0.19,0.03,1.0,1.0,0.1,1.0,0.71,0.05
E,0.07,1.0,0.14,1.0,1.0,1.0,0.75,1.0,0.26
F,0.1,0.74,1.0,0.08,1.0,1.0,0.03,0.66,1.0
G,0.05,0.06,0.05,0.26,0.72,0.02,1.0,1.0,0.03
H,0.05,0.08,0.08,0.74,1.0,0.75,1.0,1.0,0.18
I,0.05,0.06,0.07,0.1,0.14,1.0,0.16,1.0,1.0
