source,A,B,C,D,E,F,G,H,I
A,0.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0
B,1.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0
C,2.0,1.0,0.0,3.0,2.0,1.0,4.0,3.0,2.0
D,1.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,3.0
E,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0
F,3.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0
G,2.0,3.0,4.0,1.0,2.0,3.0,0.0,1.0,2.0
H,3.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0
I,4.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0
