source,A,B,C,D,E,F,G,H,I
A,1.0,1.0,0.12,1.0,0.81,0.06,0.03,0.05,0.04
B,1.0,1.0,1.0,0.11,1.0,0.72,0.12,0.08,0.02
C,0.11,1.0,1.0,0.07,0.74,1.0,0.08,0.09,0.08
D,1.0,0.14,0.08,1.0,1.0,0.06,0.07,0.73,0.04
E,0.74,1.0,0.7,1.0,1.0,0.06,0.11,0.22,0.76
F,0.06,0.74,1.0,0.07,1.0,1.0,0.05,0.67,1.0
G,0.07,0.13,0.09,1.0,0.18,0.02,1.0,1.0,0.1
H,0.08,0.07,0.08,0.15,1.0,0.04,1.0,1.0,1.0
I,0.04,0.05,0.03,0.05,0.09,1.0,0.1,1.0,1.0
