eta,label_accuracy,operational_score
0.0,0.1111111111111111,0.3333333333333333
0.2,0.15555555555555556,0.4666666666666666
0.5,0.2222222222222222,0.6666666666666666
0.8,0.2888888888888889,0.8666666666666667
1.0,0.3333333333333333,1.0
