eta,strategy,bin_low,bin_high,count,mean_confidence,empirical_success
0.0,adaptive-0.25,0.1,0.2,1500,0.11111111111111112,0.098
0.0,adaptive-0.32,0.1,0.2,1500,0.11111111111111112,0.09666666666666666
0.0,adaptive-0.50,0.1,0.2,1500,0.11111111111111112,0.09866666666666667
0.0,fixed-1,0.1,0.2,1500,0.11111111111111112,0.10133333333333333
0.0,fixed-3,0.1,0.2,1500,0.11111111111111112,0.10533333333333333
0.0,fixed-5,0.1,0.2,1500,0.11111111111111112,0.09866666666666667
0.0,no-sense,0.1,0.2,1500,0.11111111111111112,0.10533333333333333
0.2,adaptive-0.25,0.1,0.2,1014,0.17159994768197578,0.1755424063116371
0.2,adaptive-0.25,0.2,0.30000000000000004,486,0.22134758386171685,0.22633744855967078
0.2,adaptive-0.32,0.1,0.2,1011,0.17026865593599577,0.19584569732937684
0.2,adaptive-0.32,0.2,0.30000000000000004,489,0.22175865703955008,0.2249488752556237
0.2,adaptive-0.50,0.1,0.2,994,0.17068763034669504,0.1710261569416499
0.2,adaptive-0.50,0.2,0.30000000000000004,506,0.22024234387607006,0.22924901185770752
0.2,fixed-1,0.1,0.2,1500,0.15555555555555559,0.14733333333333334
0.2,fixed-3,0.1,0.2,1244,0.16027321801972103,0.1647909967845659
0.2,fixed-3,0.2,0.30000000000000004,256,0.20523980589501933,0.21484375
0.2,fixed-5,0.1,0.2,1180,0.17151638535285227,0.18305084745762712
0.2,fixed-5,0.2,0.30000000000000004,320,0.21682489841270747,0.209375
0.2,no-sense,0.1,0.2,1500,0.11111111111111112,0.11066666666666666
0.5,adaptive-0.25,0.1,0.2,40,0.175066475571155,0.175
0.5,adaptive-0.25,0.2,0.30000000000000004,1460,0.26762298321359157,0.26643835616438355
0.5,adaptive-0.32,0.1,0.2,41,0.17376235275368682,0.14634146341463414
0.5,adaptive-0.32,0.2,0.30000000000000004,1139,0.25944018679478187,0.2546093064091308
0.5,adaptive-0.32,0.30000000000000004,0.4,320,0.31402743800580796,0.315625
0.5,adaptive-0.50,0.1,0.2,43,0.17674988317247609,0.13953488372093023
0.5,adaptive-0.50,0.2,0.30000000000000004,1149,0.2586014180375988,0.26109660574412535
0.5,adaptive-0.50,0.30000000000000004,0.4,308,0.3143365762592131,0.33766233766233766
0.5,fixed-1,0.2,0.30000000000000004,1500,0.22222222222222224,0.20266666666666666
0.5,fixed-3,0.1,0.2,17,0.11111111111111117,0.17647058823529413
0.5,fixed-3,0.2,0.30000000000000004,1434,0.24424252012779488,0.25313807531380755
0.5,fixed-3,0.30000000000000004,0.4,49,0.3232323232323232,0.32653061224489793
0.5,fixed-5,0.1,0.2,63,0.17297508219222296,0.12698412698412698
0.5,fixed-5,0.2,0.30000000000000004,1175,0.25697172876622365,0.25957446808510637
0.5,fixed-5,0.30000000000000004,0.4,262,0.3134668681026168,0.35877862595419846
0.5,no-sense,0.1,0.2,1500,0.11111111111111112,0.118
0.8,adaptive-0.25,0.2,0.30000000000000004,1500,0.2888888888888889,0.30133333333333334
0.8,adaptive-0.32,0.1,0.2,2,0.16217528948074963,0.0
0.8,adaptive-0.32,0.2,0.30000000000000004,721,0.277257198502755,0.2801664355062413
0.8,adaptive-0.32,0.30000000000000004,0.4,777,0.3228049674933703,0.3204633204633205
0.8,adaptive-0.50,0.1,0.2,2,0.1989891794044531,0.0
0.8,adaptive-0.50,0.2,0.30000000000000004,746,0.280101548506435,0.2546916890080429
0.8,adaptive-0.50,0.30000000000000004,0.4,752,0.3224248670280474,0.3271276595744681
0.8,fixed-1,0.2,0.30000000000000004,1500,0.2888888888888889,0.2733333333333333
0.8,fixed-3,0.1,0.2,3,0.11111111111111126,0.0
0.8,fixed-3,0.2,0.30000000000000004,887,0.279387907717522,0.27282976324689967
0.8,fixed-3,0.30000000000000004,0.4,610,0.3248274130867204,0.3114754098360656
0.8,fixed-5,0.2,0.30000000000000004,730,0.2767286045343356,0.28493150684931506
0.8,fixed-5,0.30000000000000004,0.4,770,0.322782488874485,0.3181818181818182
0.8,no-sense,0.1,0.2,1500,0.11111111111111112,0.108
1.0,adaptive-0.25,0.30000000000000004,0.4,1500,0.33333333333333337,0.3273333333333333
1.0,adaptive-0.32,0.30000000000000004,0.4,1500,0.3333333333333333,0.3373333333333333
1.0,adaptive-0.50,0.30000000000000004,0.4,1500,0.3333333333333333,0.3506666666666667
1.0,fixed-1,0.30000000000000004,0.4,1500,0.3333333333333333,0.324
1.0,fixed-3,0.30000000000000004,0.4,1500,0.3333333333333333,0.37466666666666665
1.0,fixed-5,0.30000000000000004,0.4,1500,0.3333333333333333,0.3333333333333333
1.0,no-sense,0.1,0.2,1500,0.11111111111111112,0.11666666666666667
