eta,strategy,known_start,episodes,label_success,label_success_se,operational_score,operational_score_se,state_label_success,state_label_success_se,state_operational_score,state_operational_score_se,mean_confidence,posterior_entropy_bits,mean_senses,mean_moves,mean_total_cost,state_mean_moves,state_mean_total_cost
0.0,adaptive-0.25,0,1500,0.098,0.007679191362810134,0.3215555555555556,0.006790515656057928,0.098,0.007679191362810134,0.3215555555555556,0.006790515656057928,0.11111111111111112,3.169925001442313,6.0,0.0,7.0,0.0,7.0
0.0,adaptive-0.32,0,1500,0.09666666666666666,0.007632407915059925,0.32066666666666666,0.006760272356671174,0.09666666666666666,0.007632407915059925,0.32066666666666666,0.006760272356671174,0.11111111111111112,3.169925001442313,6.0,0.0,7.0,0.0,7.0
0.0,adaptive-0.50,0,1500,0.09866666666666667,0.007702418789391756,0.3268888888888889,0.006729521108076586,0.09866666666666667,0.007702418789391756,0.3268888888888889,0.006729521108076586,0.11111111111111112,3.169925001442313,6.0,0.0,7.0,0.0,7.0
0.0,fixed-1,0,1500,0.10133333333333333,0.007794255975400472,0.3213333333333334,0.006902134694855957,0.10133333333333333,0.007794255975400472,0.3213333333333334,0.006902134694855957,0.11111111111111112,3.169925001442313,1.0,0.0,2.0,0.0,2.0
0.0,fixed-3,0,1500,0.10533333333333333,0.00792889608185566,0.3306666666666667,0.006887255587412953,0.10533333333333333,0.00792889608185566,0.3306666666666667,0.006887255587412953,0.11111111111111112,3.169925001442313,3.0,0.0,4.0,0.0,4.0
0.0,fixed-5,0,1500,0.09866666666666667,0.007702418789391756,0.3253333333333333,0.006754063558036277,0.09866666666666667,0.007702418789391756,0.3253333333333333,0.006754063558036277,0.11111111111111112,3.169925001442313,5.0,0.0,6.0,0.0,6.0
0.0,no-sense,0,1500,0.10533333333333333,0.00792889608185566,0.3282222222222224,0.006925689744112983,0.10533333333333333,0.00792889608185566,0.3282222222222224,0.006925689744112983,0.11111111111111112,3.169925001442312,0.0,0.0,1.0,0.0,1.0
0.0,no-sense,1,1500,1.0,0.0,1.0000000000000002,6.372564952127405e-18,1.0,0.0,1.0000000000000002,6.372564952127405e-18,1.0,0.0,0.0,1.3273333333333333,2.3273333333333333,1.3273333333333333,2.3273333333333333
0.2,adaptive-0.25,0,1500,0.192,0.0101731507081248,0.5637695612441359,0.00734299299309067,0.19266666666666668,0.010186592131538285,0.5723743865447183,0.007232494858319309,0.18771818180421193,3.0717109668340363,5.988,1.332,8.32,1.3373333333333333,8.325333333333333
0.2,adaptive-0.32,0,1500,0.20533333333333334,0.01043329315737728,0.5624205138975062,0.007526667955074273,0.21333333333333335,0.010580931853767774,0.5721757578979851,0.007503843457415003,0.1870543962957545,3.0719074473466934,6.0,1.294,8.294,1.3126666666666666,8.312666666666667
