goal,wZ0,wX0,wY0,wZ0_wX0,wX0_wZ0,wZ0_wX0_wY0
wZ0,0.0,3.5108366001699745,2.259006637862561,1.8678794451571354,2.047061793119476,1.8182424318702406
wX0,3.5108366001699745,0.0,2.676667232064198,2.6060886920851236,3.8476277534106105,3.4057592520282296
wY0,2.259006637862561,2.676667232064198,0.0,1.9196686311913391,1.7036094713531487,2.085991520344336
wZ0_wX0,1.8678794451571354,2.6060886920851236,1.9196686311913391,0.0,2.315205944120255,1.5421689017505684
wX0_wZ0,2.047061793119476,3.8476277534106105,1.7036094713531487,2.315205944120255,0.0,1.4361301275185356
wZ0_wX0_wY0,1.8182424318702406,3.4057592520282296,2.085991520344336,1.5421689017505684,1.4361301275185356,0.0
