action_id,inferred_dx,inferred_dy,residual,margin,true_dx,true_dy,correct,control
0,0,1,1.1207206297607377e-16,0.3464101615137752,0,1,1,phase-translation
1,0,-1,1.150853615078125e-16,0.3464101615137752,0,-1,1,phase-translation
2,-1,0,1.1508536150781247e-16,0.3464101615137752,-1,0,1,phase-translation
3,1,0,1.1207206297607377e-16,0.3464101615137752,1,0,1,phase-translation
0,1,1,0.30499187233849456,0.01743281285545445,,,,haar-random
1,-1,-1,0.3732276877716511,0.0012284158342535378,,,,haar-random
2,-1,-1,0.3448328828292661,0.021322473099616546,,,,haar-random
3,1,-1,0.37102412987311517,0.012318623228636416,,,,haar-random
