eta,self_value,edge_value,diagonal_value,self_edge_gap,edge_diagonal_gap,identity_of_indiscernibles
0.0,9.0,9.0,9.0,0.0,0.0,0
0.1,8.163265306123108,8.163265306123106,8.367346938776185,-1.7763568394002505e-15,0.20408163265307877,0
0.2,7.438016528926223,7.438016528926222,7.809917355372538,-8.881784197001252e-16,0.37190082644631595,0
0.30000000000000004,6.80529300567159,6.805293005671589,7.3156899810969644,-8.881784197001252e-16,0.5103969754253752,0
0.4,6.250000000000432,6.250000000000432,6.875000000000483,0.0,0.6250000000000515,0
0.5,5.760000000000378,5.760000000000379,6.480000000000435,8.881784197001252e-16,0.7200000000000557,0
0.6000000000000001,5.3254437869826,5.325443786982599,6.12426035503,-8.881784197001252e-16,0.7988165680474006,0
0.7000000000000001,4.9382716049385955,4.9382716049385955,5.802469135802862,0.0,0.8641975308642662,0
0.8,4.591836734694162,4.591836734694163,5.51020408163301,8.881784197001252e-16,0.9183673469388465,0
0.9,4.280618311534125,4.280618311534123,5.243757431629318,-1.7763568394002505e-15,0.9631391200951942,0
1.0,4.000000000000231,4.00000000000023,5.000000000000305,-8.881784197001252e-16,1.0000000000000746,0
