candidate,actions,outcomes_per_action,joint_information_bits,x_information_bits,y_information_bits,signature_rank,distinct_signatures
null-axis-pair,2,3,0.0,0.0,0.0,0,1
weak-axis-pair,2,3,0.05483753540618628,0.0274187677030932,0.02741876770309317,4,9
sharp-axis-pair,2,3,0.1494419964384896,0.07472099821924481,0.07472099821924486,4,9
phase-grid-povm,1,9,0.5283208335737188,0.14944199643848965,0.14944199643848965,6,9
hesse-sic-povm,1,9,0.5849625007211557,0.1949875002403855,0.19498750024038522,6,9
computational-null,1,3,1.779681391008288e-16,1.6017132519074593e-16,1.601713251907459e-16,0,1
