eta,joint_information_bits,x_information_bits,y_information_bits,survival_fidelity,disturbance
0.0,0.0,0.0,0.0,1.0000000000000004,-4.440892098500626e-16
0.05,0.00039857699527894334,0.00019928849763943502,0.0001992884976395235,0.9997220266584027,0.0002779733415972929
0.1,0.0015860456959168163,0.0007930228479584986,0.0007930228479585228,0.99888574772755,0.0011142522724499893
0.15000000000000002,0.0035509237939173517,0.0017754618969588075,0.0017754618969587996,0.9974839941195065,0.0025160058804934993
0.2,0.006282873699674563,0.0031414368498372657,0.003141436849837375,0.9955045010148633,0.004495498985136681
0.25,0.009772624801816038,0.004886312400907984,0.004886312400907963,0.9929294024022803,0.007070597597719663
0.30000000000000004,0.014011906266487587,0.007005953133243831,0.007005953133243835,0.9897344560759304,0.010265543924069642
0.35000000000000003,0.018993389059489316,0.00949669452974467,0.009496694529744673,0.9858879174604357,0.014112082539564308
0.4,0.024710636104737463,0.0123553180523687,0.012355318052368709,0.9813489323015534,0.0186510676984466
0.45,0.031158059682303167,0.01557902984115166,0.015579029841151676,0.9760652409057978,0.023934759094202174
0.5,0.03833088532737845,0.019165442663689237,0.019165442663689275,0.9699698565489682,0.030030143451031832
0.55,0.046225121624666465,0.023112560812333243,0.02311256081233321,0.9629761511691256,0.037023848830874395
0.6000000000000001,0.05483753540618618,0.027418767703093188,0.02741876770309315,0.9549703546891172,0.045029645310882827
0.65,0.06416563195858335,0.03208281597929171,0.032082815979291704,0.9457996311146092,0.054200368885390815
0.7000000000000001,0.07420763993218887,0.037103819966094485,0.03710381996609448,0.9352521022161864,0.06474789778381362
0.75,0.08496250072115605,0.0424812503605781,0.042481250360578066,0.9230210154256377,0.07697898457436225
0.8,0.096429862154411,0.04821493107720563,0.04821493107720551,0.9086343071110738,0.09136569288892615
0.8500000000000001,0.10861007640302776,0.0543050382015139,0.0543050382015139,0.8912970509590232,0.10870294904097677
0.9,0.12150420207285288,0.0607521010364265,0.0607521010364264,0.8694616863117542,0.13053831368824576
0.9500000000000001,0.13511401051355523,0.06755700525677757,0.06755700525677759,0.839145722685963,0.160854277314037
1.0,0.1494419964384896,0.07472099821924481,0.07472099821924486,0.7587141284188534,0.24128587158114656
