opaque_action,physical_action_hidden,permutation_accuracy,heldout_kernel_mae,order,immediate_action_outcome_mi_bits,future_probe_effect_tv
0,1,1.0,0.005294158103115728,3,0.25162916738782276,0.2499999999999999
1,0,1.0,0.0053644731452996116,1,0.25162916738782276,0.0
2,2,1.0,0.005789956137784623,3,0.25162916738782276,0.2499999999999999
3,3,1.0,0.00504677233426436,3,0.25162916738782276,0.24999999999999986
4,4,1.0,0.005404506526980959,3,0.25162916738782276,0.24999999999999986
