theta,min_trace_separation,commutator_defect,mean_translation_defect,max_translation_defect,pearson_euclidean,spearman_manhattan,mds_2d_stress,positive_gram_planarity,separation_adjusted_score
0.01,0.004998979204204962,3.535691057951651e-07,3.387189193621963e-07,1.802609427600141e-06,0.9999999892473836,0.9548010287986628,8.121801542647457e-06,0.9999916672901384,0.24984749693334182
0.018324022346368714,0.009155731114856432,2.1751102034466303e-06,2.0836921588545904e-06,1.1088466591588177e-05,0.9999998787586498,0.9548010287986628,2.7266378304417204e-05,0.9999720262259492,0.4571632409464355
0.026648044692737433,0.013304709889974238,6.689194163833764e-06,6.407049177138536e-06,3.409250213359258e-05,0.9999994576077594,0.9548010287986628,5.765155165969377e-05,0.9999408549538908,0.6633230535158
0.034972067039106144,0.017442389626106204,1.5117696209727416e-05,1.4476857126426789e-05,7.702389320816388e-05,0.9999983906412482,0.9548010287986628,9.926095296218507e-05,0.9998981728346892,0.8678110899631456
0.04329608938547486,0.021565250176182372,2.868120911834493e-05,2.7457679098880572e-05,0.00014606691046522655,0.9999962181118988,0.9548010287986628,0.00015207222200731434,0.9998440062912792,1.0701216421440187
0.051620111731843575,0.025669778943165855,4.859845988183807e-05,4.651718451405111e-05,0.00024737311376218853,0.9999923551936182,0.9548010287986628,0.00021605706574608357,0.9997783887145322,1.2697620816558879
0.059944134078212294,0.029752472670503252,7.608603091883702e-05,7.280084976102509e-05,0.00038705366133608593,0.9999860913739875,0.9548010287986628,0.0002911813364862196,0.9997013603419048,1.4662556290396858
0.068268156424581,0.03380983922820607,0.00011235786108479099,0.000107441911151437,0.0005711716560713963,0.9999765897307792,0.9548010287986628,0.00037740512513179423,0.9996129681108081,1.6591439156828738
0.07659217877094972,0.03783839939390917,0.0001586248594992895,0.0001515970910300466,0.0008057345580239662,0.9999628861002025,0.9548010287986628,0.0004746828703754823,0.999513265487463,1.8479893096704008
0.08491620111731843,0.041834688628013705,0.00021609446152701212,0.00020640100170167354,0.0010966866614984666,0.9999438881461117,0.9548010287986628,0.0005829634831159612,0.999402312272121,2.0323769820799944
0.09324022346368714,0.04579525884208743,0.00028597021822276763,0.0002729679272681694,0.0014499016563217465,0.9999183743409465,0.9548010287986628,0.0007021904859666851,0.9992801743802302,2.211916695720844
0.10156424581005587,0.04971668015984579,0.00036945137924103633,0.0003524072781575334,0.0018711752805974913,0.9998849928708103,0.9548010287986628,0.0008323021677456692,0.9991469236007265,2.3862443040094954
0.10988826815642458,0.0535955426697231,0.0004677324744191251,0.00044581633991119736,0.0023662180687629842,0.9998422604787314,0.9548010287986628,0.0009732317517910639,0.9990026373323455,2.5550229534799294
