memory,sharpness,immediate_mi_bits,score,bellman_iterations,symmetry_residual,diagonal_residual,minimum_offdiagonal,maximum_triangle_violation,is_metric,torus_correlation,best_scale,relative_rmse_after_scale,edge_mean,edge_spread,diagonal_mean,diagonal_spread,strict_shell_margin,heldout_diagonal_additivity_error
0.95,1.0,0.012581458369391455,0.45514463186066567,0,0.0,0.0,1.051939513477975,0.0,True,1.0,1.0361604207758053,0.00800576622827442,1.051939513477975,0.0,2.064431295200526,0.0,1.0124917817225507,0.019108280254777166
0.95,0.9500000000000001,0.011490498838985338,0.45258222098938006,0,0.0,0.0,1.0528391837498658,0.0,True,1.0,1.0367833861976803,0.00814091315763962,1.052839183749866,0.0,2.065538873619268,0.0,1.0126996898694023,0.019432940426887722
0.95,0.9,0.01044032251207617,0.45010120361995265,0,0.0,0.0,1.0537400086787199,0.0,True,0.9999999999999993,1.0374070385441996,0.008276117135096638,1.0537400086787199,0.0,2.0666475920211393,0.0,1.0129075833424195,0.019757807520713825
0.95,0.85,0.009431705110581303,0.4477031310559004,0,0.0,0.0,1.054641990241266,0.0,True,0.9999999999999993,1.038031378894966,0.008411378196774694,1.054641990241266,0.0,2.0677574521167816,0.0,1.013115461875516,0.020082881734140974
0.95,0.8,0.008465502295447973,0.445389714478603,0,0.0,0.0,1.055545130418465,0.0,True,1.0,1.03865640833177,0.008546696378833383,1.055545130418465,0.0,2.068868455620192,0.0,1.0133233252017269,0.020408163265305944
0.95,0.75,0.00754265780630867,0.44316284122661137,0,0.0,0.0,1.0564494311955213,0.0,True,0.9999999999999993,1.0392821279385938,0.008682071717463418,1.0564494311955213,0.0,2.0699806042487245,0.0,1.0135311730532028,0.02073365231259986
0.95,0.7000000000000001,0.0066642129750575565,0.4410245938228048,0,0.0,0.0,1.0573548945618916,0.0,True,0.9999999999999996,1.0399085388016203,0.00881750424888529,1.0573548945618918,0.0,2.0710938997231043,0.0,1.0137390051612132,0.021059349074665366
0.8999999999999999,1.0,0.02516291673878259,0.43966709768720563,0,0.0,0.0,1.10803324099723,0.0,True,0.9999999999999998,1.0747922437673132,0.01621680851368401,1.10803324099723,0.0,2.132963988919668,0.0,1.0249307479224377,0.038961038961038995
0.95,0.65,0.005831317894511101,0.43897727231170675,0,0.0,0.0,1.0582615225112988,0.0,True,1.0,1.0405356420092344,0.008952994009350653,1.0582615225112988,0.0,2.0722083437674366,0.0,1.0139468212561378,0.021385253750399166
0.95,0.6,0.005045244597323092,0.4370234206173174,0,0.0,0.0,1.0591693170417402,0.0,True,1.0,1.0411634386520308,0.009088541035141562,1.0591693170417402,0.0,2.0733239381092066,0.0,1.0141546210674663,0.021711366538952705
0.95,0.55,0.0043074026978808765,0.4351658578269037,0,0.0,0.0,1.0600782801555002,0.0,True,0.9999999999999998,1.0417919298228178,0.009224145362571105,1.0600782801555004,0.0,2.0744406844792938,0.0,1.014362404323794,0.02203768763973207
0.8999999999999999,0.9500000000000001,0.02298099767797035,0.4345208349929557,0,0.0,0.0,1.1099797197455374,0.0,True,1.0,1.0761253382932985,0.016494137432259255,1.1099797197455377,0.0,2.135323485860477,0.0,1.0253437661149398,0.03963612735542601
0.95,0.5,0.003619358080018233,0.433407715566428,0,0.0,0.0,1.0609884138591612,0.0,True,1.0,1.042421116616626,0.009359807027982413,1.0609884138591612,0.0,2.0755585846119846,0.0,1.0145701707528234,0.02236421725239592
0.95,0.45000000000000007,0.0029828553891102835,0.4317524829847319,0,0.0,0.0,1.0618997201636136,0.0,True,1.0,1.0430510001307092,0.009495526067750318,1.0618997201636136,0.0,2.0766776402449665,0.0,1.014777920081353,0.022690955576861755
0.95,0.4,0.002399845327747811,0.4302040613448916,0,0.0,0.0,1.0628122010840686,0.0,True,1.0,1.0436815814645553,0.009631302518279405,1.0628122010840686,0.0,2.077797853119354,0.0,1.0149856520352851,0.023017902813299417
0.8999999999999999,0.9,0.02088064502415202,0.4295369777470696,0,0.0,0.0,1.111931332062849,0.0,True,0.9999999999999993,1.0774614607689008,0.016771703586863917,1.111931332062849,0.0,2.1376879858908273,0.0,1.0257566538279783,0.04031209362808837
0.95,0.35,0.0018725180886860991,0.42876683089010914,0,0.0,0.0,1.0637258586400673,0.0,True,1.0,1.044312861719886,0.009767136416005575,1.0637258586400675,0.0,2.078919224979681,0.0,1.0151933663396142,0.023345059162136462
0.95,0.30000000000000004,0.0014033447314890095,0.4274457335970017,0,0.0,0.0,1.0646406948554936,0.0,True,1.0,1.0449448420006666,0.009903027797395809,1.0646406948554938,0.0,2.0800417575739205,0.0,1.0154010627184265,0.0236724248240568
0.95,0.25,0.0009951289896982104,0.42624637678994287,0,0.0,0.0,1.065556711758585,0.0,True,0.9999999999999996,1.0455775234131113,0.010038976698947231,1.065556711758585,0.0,2.081165452653486,0.0,1.0156087408949013,0.023999999999999983
0.95,0.2,0.0006510729948093944,0.425175164589009,0,0.0,0.0,1.0664739113819426,0.0,True,0.9999999999999998,1.0462109070656858,0.010174983157188627,1.0664739113819424,0.0,2.0822903119732437,0.0,1.0158164005913006,0.0243277848911648
0.8999999999999999,0.85,0.018863410221162287,0.4247186276109083,0,0.0,0.0,1.113888096017154,0.0,True,1.0,1.0788006209926135,0.017049507282037527,1.1138880960171538,0.0,2.140057504472957,0.0,1.0261694084558028,0.04098893949251782
0.95,0.15000000000000002,0.00037486190526641184,0.42423946716797084,0,0.0,0.0,1.0673922957625452,0.0,True,0.9999999999999998,1.0468449940691162,0.010311047208679543,1.0673922957625452,0.0,2.0834163372915175,0.0,1.0160240415289723,0.024655779699007587
0.85,1.0,0.03774437510817341,0.42353579270458885,0,0.0,0.0,1.1687363038714391,0.0,True,0.9999999999999993,1.1161431701972242,0.024641124624688725,1.1687363038714393,0.0,2.205989773557341,0.0,1.037253469685902,0.059602649006622856
0.95,0.1,0.00017077474447065944,0.42344784243031314,0,0.0,0.0,1.0683118669417573,0.0,True,0.9999999999999993,1.0474797855363929,0.010447168890009899,1.0683118669417575,0.0,2.084543530370104,0.0,1.0162316634283466,0.024983984625240457
0.8999999999999999,0.8,0.016931004590895627,0.4200692059983322,0,0.0,0.0,1.1158500297560008,0.0,True,0.9999999999999996,1.0801428288038086,0.017327548822840492,1.1158500297560008,0.0,2.142432057131521,0.0,1.0265820273755204,0.041666666666666824
