candidate,memory,sharpness,immediate_mi_bits,edge_value,diagonal_value,diagonal_edge_ratio,bellman_analytic_max_error,bellman_iterations,kraus_residual,covariance_residual,opaque_action_accuracy,opaque_kernel_mae,exact_nll_bits,learned_nll_bits,marginal_nll_bits,equal_length_same_displacement_classes,equal_length_path_closure_residual,all_length_path_closure_residual,symmetry_residual,diagonal_residual,minimum_offdiagonal,maximum_triangle_violation,is_metric,torus_correlation,best_scale,relative_rmse_after_scale,edge_mean,edge_spread,diagonal_mean,diagonal_spread,strict_shell_margin,heldout_diagonal_additivity_error,negative_eigenmass_fraction,positive_dimension,mds_2d_stress,minimum_gram_eigenvalue,open_grid_correlation,open_grid_relative_rmse,heldout_strings,heldout_length
state-hitting-hesse,0.0,1.0,0.25162916738782287,3.9999999999999982,4.999999999999998,1.2500000000000002,3.126388037344441e-13,118,1.5543122344752192e-15,3.191891195797325e-16,nan,nan,nan,nan,nan,32,3.885780586188048e-16,0.6640624999999996,3.552713678800501e-15,0.0,4.000000000000233,0.0,True,0.9999999999999993,2.80000000000017,0.21081851067789045,4.000000000000232,1.7763568394002505e-15,5.000000000000309,2.6645352591003757e-15,1.0000000000000728,0.5999999999999939,0.0,8,0.44516012473739314,3.552713585525636e-15,0.5276102962514704,0.2905024432431611,,
exact-local-square,0.2189514164974602,1.0,0.19653460475618262,2.692075270314926,3.8071693582085837,1.414213562373095,1.580957587066223e-13,81,9.992007221626409e-16,2.498001805406602e-16,1.0,0.0039878374322865765,3.0350991965195955,3.120761842952414,3.929409086460726,32,5.273559366969494e-16,0.6470418323180934,1.7763568394002505e-15,0.0,2.692075270315022,0.0,True,0.9999999999999996,2.061282797346501,0.15345944486504184,2.692075270315023,1.3322676295501878e-15,3.807169358208741,2.220446049250313e-15,1.115094087893716,0.41421356237308793,0.0,4,0.40824206373503985,-7.994418712328234e-14,0.5276102962514706,0.284755980987655,2000,8
selected-torus,0.7999999999999999,1.0,0.05032583347756446,1.2345679012345678,2.2839506172839505,1.85,3.863576125695545e-14,29,6.661338147750939e-16,6.245004513516506e-17,1.0,0.0011061369135141829,1.3132367606579356,1.3989008674599175,3.896353096331303,32,1.0173589278895273e-15,0.3186625000000002,0.0,0.0,1.2345679012345783,0.0,True,0.9999999999999998,1.1604938271605114,0.03328713326492664,1.234567901234578,0.0,2.2839506172839896,0.0,1.049382716049411,0.08108108108107169,0.19573443412453023,4,0.37306273276454494,-1.084057308337207,0.5276102962514705,0.3116827279757758,2000,8
null-report,0.8,0.0,0.0,1.3313609467455623,2.3964497041420123,1.8000000000000003,2.708944180085382e-14,34,2.220446049250313e-16,0.0,1.0,0.0011061369135141829,1.3471888467356226,1.4338175560544233,3.8884780963312986,32,7.659481885757579e-16,0.39359999999999995,2.220446049250313e-16,0.0,1.3313609467455707,0.0,True,0.9999999999999992,1.2248520710059299,0.045175395145260394,1.3313609467455707,2.220446049250313e-16,2.39644970414204,0.0,1.0650887573964685,0.1111111111111055,0.18452380952381164,4,0.39124200548589105,-1.0989636217219718,0.5276102962514707,0.30687192945008357,2000,8
memory-only,1.0,1.0,-3.2034265038149176e-16,1.0,2.0,2.0,0.0,3,3.3306690738754696e-16,0.0,1.0,0.0008849068082517556,0.0,0.07804993865329352,3.1699250014425773,32,1.8287112280056672e-15,1.8287112280056672e-15,0.0,0.0,1.0,0.0,True,0.9999999999999998,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.22222222222222224,4,0.38318332010201567,-1.0000000000000013,0.5276102962514707,0.3272588705603408,2000,8
weak-report,0.8,0.5,0.014477432320071756,1.2815948736205054,2.3389106443574224,1.825,1.865174681370263e-14,32,6.661338147750939e-16,3.122502256758253e-17,1.0,0.0011061369135141829,1.3320964468345826,1.4193361391979522,3.8884780963312986,32,8.481818925871709e-16,0.35783307291666666,4.440892098500626e-16,0.0,1.2815948736205107,0.0,True,1.0,1.1918832324670785,0.03917866127642076,1.2815948736205105,0.0,2.3389106443574406,4.440892098500626e-16,1.0573157707369298,0.0958904109588998,0.1903101814606255,4,0.388293914958091,-1.0927660810538988,0.527610296251471,0.30924642943388225,2000,8
