memory,sharpness,analytic_bellman_max_error,bellman_iterations,is_metric
0.09999999999999999,0.65,3.277378368693462e-13,119,True
0.09999999999999999,0.7000000000000001,2.9753977059954195e-13,116,True
0.09999999999999999,0.75,2.7622348852673895e-13,113,True
0.09999999999999999,0.8,2.637889906509372e-13,110,True
0.09999999999999999,0.85,2.6201263381153694e-13,107,True
0.09999999999999999,0.9,2.6645352591003757e-13,104,True
0.09999999999999999,0.9500000000000001,2.0694557179012918e-13,102,True
0.09999999999999999,1.0,2.2115642650533118e-13,99,True
0.15,0.1,3.979039320256561e-13,144,True
0.15,0.15000000000000002,3.9523939676655573e-13,140,True
0.15,0.2,4.04121180963557e-13,136,True
0.15,0.25,3.348432642269472e-13,133,True
0.15,0.30000000000000004,3.659295089164516e-13,129,True
0.15,0.35,3.232969447708456e-13,126,True
0.15,0.4,2.8688162956314045e-13,123,True
0.15,0.45000000000000007,2.673417043297377e-13,120,True
0.15,0.5,3.2862601528904634e-13,117,True
0.15,0.55,2.424727085781342e-13,114,True
0.15,0.6,2.4513724383723456e-13,111,True
0.15,0.65,2.5224267119483557e-13,108,True
0.15,0.7000000000000001,2.6645352591003757e-13,105,True
0.15,0.75,2.1405099914773018e-13,103,True
0.15,0.8,2.389199948993337e-13,100,True
0.15,0.85,2.007283228522283e-13,98,True
0.15,0.9,2.3803181647963356e-13,95,True
0.15,0.9500000000000001,2.0961010704922955e-13,93,True
0.15,1.0,1.8474111129762605e-13,91,True
0.19999999999999998,0.1,3.6148861681795097e-13,127,True
0.19999999999999998,0.15000000000000002,3.3928415632544784e-13,124,True
0.19999999999999998,0.2,3.2596148002994596e-13,121,True
0.19999999999999998,0.25,3.2152058793144533e-13,118,True
0.19999999999999998,0.30000000000000004,3.197442310920451e-13,115,True
0.19999999999999998,0.35,2.566835632933362e-13,113,True
0.19999999999999998,0.4,2.673417043297377e-13,110,True
0.19999999999999998,0.45000000000000007,2.913225216616411e-13,107,True
0.19999999999999998,0.5,2.424727085781342e-13,105,True
0.19999999999999998,0.55,2.7977620220553945e-13,102,True
0.19999999999999998,0.6,2.433608869978343e-13,100,True
0.19999999999999998,0.65,2.113864638886298e-13,98,True
0.19999999999999998,0.7000000000000001,1.8918200339612667e-13,96,True
0.19999999999999998,0.75,2.398081733190338e-13,93,True
0.19999999999999998,0.8,2.2382096176443156e-13,91,True
0.19999999999999998,0.85,2.1316282072803006e-13,89,True
