candidate,equal_length_same_displacement_classes,equal_length_path_closure_residual,all_length_path_closure_residual
state-hitting-hesse,32,3.885780586188048e-16,0.6640624999999996
exact-local-square,32,5.273559366969494e-16,0.6470418323180934
selected-torus,32,1.0173589278895273e-15,0.3186625000000002
null-report,32,7.659481885757579e-16,0.39359999999999995
memory-only,32,1.8287112280056672e-15,1.8287112280056672e-15
weak-report,32,8.481818925871709e-16,0.35783307291666666
