target,repertoire,radius,count,mean_ratio,min_ratio,max_ratio,anisotropy_range,angular_cv
euclidean,D4,2,8,1.2071067811865475,1.0,1.414213562373095,0.3431457505076197,0.17157287525380985
euclidean,D4,4,20,1.26066462185217,1.0,1.386750490563073,0.3067830125944668,0.11205507451275412
euclidean,D4,6,32,1.2639149100987714,1.0,1.414213562373095,0.32772266476445416,0.10216796735961614
euclidean,D4,8,48,1.2804905341742299,1.0,1.414213562373095,0.3234803782756702,0.10141703236119083
euclidean,D4,10,64,1.2846807323135265,1.0,1.4142135623730951,0.32242529365810263,0.09891571491961137
euclidean,D4,12,64,1.2603288867666045,1.0,1.414213562373095,0.328655136545959,0.09977709389775213
euclidean,D8,2,8,0.9696464409778554,0.9392928819557107,1.0,0.06260747781744884,0.03130373890872442
euclidean,D8,4,20,1.0266848544804255,1.0,1.0525200790006066,0.05115501487278242,0.02115702575463911
euclidean,D8,6,32,1.0228709722315283,0.9392928819557107,1.050426805491687,0.1086490149324728,0.03461627619137752
euclidean,D8,8,48,1.016480358023361,0.9392928819557107,1.0517315784860022,0.11061571002605383,0.03415340403493863
euclidean,D8,10,64,1.0173622658906587,0.9392928819557107,1.0525200790006068,0.11129486598932427,0.03259592988982366
euclidean,D8,12,64,1.024962559671765,0.9392928819557107,1.052008426079508,0.10997040141631453,0.02913948473824353
euclidean,D16,2,8,0.9696464409778554,0.9392928819557107,1.0,0.06260747781744884,0.03130373890872442
euclidean,D16,4,20,1.0266848544804255,1.0,1.0525200790006066,0.05115501487278242,0.02115702575463911
euclidean,D16,6,32,1.0228709722315283,0.9392928819557107,1.050426805491687,0.1086490149324728,0.03461627619137752
euclidean,D16,8,48,1.016480358023361,0.9392928819557107,1.0517315784860022,0.11061571002605383,0.03415340403493863
euclidean,D16,10,64,1.0173622658906587,0.9392928819557107,1.0525200790006068,0.11129486598932427,0.03259592988982366
euclidean,D16,12,64,1.024962559671765,0.9392928819557107,1.052008426079508,0.10997040141631453,0.02913948473824353
euclidean,D32,2,8,0.9754684640194591,0.950936928038918,1.0,0.05029693298224679,0.025148466491123397
euclidean,D32,4,20,1.0093320982924532,1.0,1.0233263984612948,0.023110726886381057,0.01132065288127178
euclidean,D32,6,32,1.0035308193350585,0.950936928038918,1.0226460886771407,0.07145685937750997,0.02133436969193964
euclidean,D32,8,48,0.9980846314881407,0.9509369280389182,1.0129007410005733,0.062082724256827065,0.01615765954877693
euclidean,D32,10,64,0.9998975586349981,0.9509369280389182,1.016791556475667,0.06586137536594233,0.016885512013284015
euclidean,D32,12,64,1.002737931678181,0.950936928038918,1.0159855128456972,0.06487097251613277,0.016110200210376412
fubini-study,D4,2,8,1.2071067811865475,1.0,1.414213562373095,0.3431457505076197,0.17157287525380985
fubini-study,D4,4,20,1.26066462185217,1.0,1.386750490563073,0.3067830125944668,0.11205507451275412
fubini-study,D4,6,32,1.2639149100987714,1.0,1.414213562373095,0.32772266476445416,0.10216796735961614
fubini-study,D4,8,48,1.2804905341742299,1.0,1.414213562373095,0.3234803782756702,0.10141703236119083
fubini-study,D4,10,64,1.2846807323135265,1.0,1.4142135623730951,0.32242529365810263,0.09891571491961137
fubini-study,D4,12,64,1.2603288867666045,1.0,1.414213562373095,0.328655136545959,0.09977709389775213
fubini-study,D8,2,8,0.9683790465795408,0.9367580931590817,1.0,0.06530697567682633,0.03265348783841317
fubini-study,D8,4,20,1.0254360369042979,1.0,1.0513864869890335,0.050111840368088495,0.021114887082686908
fubini-study,D8,6,32,1.0215844511378076,0.9367580931590817,1.0490954691919345,0.10996386633306249,0.03499181802549123
fubini-study,D8,8,48,1.015071259484811,0.9367580931590818,1.0507467766771112,0.11229623777928978,0.034677779216396754
fubini-study,D8,10,64,1.0159355100517147,0.9367580931590818,1.0513864869890335,0.11283038410983068,0.0331137471551396
fubini-study,D8,12,64,1.0237063416260495,0.9367580931590817,1.050783368548332,0.1113847504433091,0.029530238629806117
fubini-study,D16,2,8,0.9683790465795408,0.9367580931590817,1.0,0.06530697567682633,0.03265348783841317
fubini-study,D16,4,20,1.0254360369042979,1.0,1.0513864869890335,0.050111840368088495,0.021114887082686908
fubini-study,D16,6,32,1.0215844511378076,0.9367580931590817,1.0490954691919345,0.10996386633306249,0.03499181802549123
fubini-study,D16,8,48,1.015071259484811,0.9367580931590818,1.0507467766771112,0.11229623777928978,0.034677779216396754
fubini-study,D16,10,64,1.0159355100517147,0.9367580931590818,1.0513864869890335,0.11283038410983068,0.0331137471551396
fubini-study,D16,12,64,1.0237063416260495,0.9367580931590817,1.050783368548332,0.1113847504433091,0.029530238629806117
fubini-study,D32,2,8,0.9743514414569772,0.9487028829139544,1.0,0.052647448244485,0.0263237241222425
fubini-study,D32,4,20,1.0076658128493146,0.9975906628445208,1.0215738692787661,0.023800754306062547,0.011303259572712141
fubini-study,D32,6,32,1.0017783743954705,0.9487028829139544,1.0206423289967628,0.07181173792678511,0.021465765096239986
fubini-study,D32,8,48,0.9962334944643767,0.9487028829139544,1.0118215321171224,0.06335728476696484,0.016376577847652778
fubini-study,D32,10,64,0.9980516799577965,0.9487028829139544,1.0146003224605393,0.06602607948054495,0.017102520925750486
fubini-study,D32,12,64,1.00094494189569,0.9487028829139544,1.0137726490697228,0.06500833705451638,0.016315706805321153
