target,repertoire,direction_count,parameter_count,max_local_step,locality_ratio_to_eval_radius,heldout_relative_rmse,heldout_mean_relative_error,heldout_max_abs_relative_error,bellman_residual,translation_covariance_residual,kraus_completeness_residual,negative_eigenmass_fraction,positive_dimension,mds_2d_stress,minimum_gram_eigenvalue
euclidean,D4,4,1,1.000000000000,0.083333333333,0.300254443728,0.271866735447,0.414213562373,0.000e+00,7.850e-17,2.220e-16,0.2253856098536858,8,0.14689311762370774,-27.416407864998714
euclidean,D8,8,2,1.414213562373,0.117851130198,0.038532446026,0.022037560591,0.060707118044,1.776e-15,1.113e-16,2.220e-16,0.1207209210076936,12,0.04409146603570021,-3.0978013892475493
euclidean,D16,16,3,2.236067977500,0.186338998125,0.038532446026,0.022037560591,0.060707118044,1.776e-15,1.666e-16,2.220e-16,0.1207209210076936,12,0.04409146603570021,-3.0978013892475493
euclidean,D32,32,5,3.605551275464,0.300462606289,0.016174139928,0.002238951160,0.049063071961,1.776e-15,1.666e-16,2.220e-16,0.08236190459581776,12,0.02886549674930595,-1.8789997241520096
fubini-study,D4,4,1,1.000000000000,0.083333333333,0.333725812908,0.306315695673,0.495400288753,0.000e+00,7.850e-17,2.220e-16,0.2253856098536858,8,0.14689311762370774,-27.416407864998714
fubini-study,D8,8,2,1.414213562373,0.117851130198,0.061384973686,0.048395878872,0.124029625979,1.776e-15,1.113e-16,2.220e-16,0.12099176792731062,12,0.04477904558318683,-3.088145099670509
fubini-study,D16,16,3,2.236067977500,0.186338998125,0.061384973686,0.048395878872,0.124029625979,1.776e-15,1.666e-16,2.220e-16,0.12099176792731062,12,0.04477904558318683,-3.088145099670509
fubini-study,D32,32,5,3.605551275464,0.300462606289,0.036541755911,0.027554239364,0.089832760610,0.000e+00,1.666e-16,2.220e-16,0.0819469695574154,12,0.029257126450852995,-1.8833163802725998
