target,repertoire,dx,dy,radius,training,truth,prediction,relative_error,absolute_error
euclidean,D4,-12,0,12.000000000000,0,12.000000000000,12.000000000000,0.000000000000,0.000000000000
euclidean,D4,-11,-4,11.704699910720,0,11.704699910720,15.000000000000,0.281536486575,3.295300089280
euclidean,D4,-11,-3,11.401754250991,0,11.401754250991,14.000000000000,0.227881227030,2.598245749009
euclidean,D4,-11,-2,11.180339887499,0,11.180339887499,13.000000000000,0.162755348300,1.819660112501
euclidean,D4,-11,-1,11.045361017187,0,11.045361017187,12.000000000000,0.086428952510,0.954638982813
euclidean,D4,-11,0,11.000000000000,0,11.000000000000,11.000000000000,0.000000000000,0.000000000000
euclidean,D4,-11,1,11.045361017187,0,11.045361017187,12.000000000000,0.086428952510,0.954638982813
euclidean,D4,-11,2,11.180339887499,0,11.180339887499,13.000000000000,0.162755348300,1.819660112501
euclidean,D4,-11,3,11.401754250991,0,11.401754250991,14.000000000000,0.227881227030,2.598245749009
euclidean,D4,-11,4,11.704699910720,0,11.704699910720,15.000000000000,0.281536486575,3.295300089280
euclidean,D4,-10,-6,11.661903789691,0,11.661903789691,16.000000000000,0.371988681140,4.338096210309
euclidean,D4,-10,-5,11.180339887499,0,11.180339887499,15.000000000000,0.341640786500,3.819660112501
euclidean,D4,-10,-4,10.770329614269,0,10.770329614269,14.000000000000,0.299867367239,3.229670385731
euclidean,D4,-10,-3,10.440306508911,0,10.440306508911,13.000000000000,0.245174170787,2.559693491089
euclidean,D4,-10,-2,10.198039027186,0,10.198039027186,12.000000000000,0.176696810829,1.801960972814
euclidean,D4,-10,-1,10.049875621121,0,10.049875621121,11.000000000000,0.094540909231,0.950124378879
euclidean,D4,-10,0,10.000000000000,0,10.000000000000,10.000000000000,0.000000000000,0.000000000000
euclidean,D4,-10,1,10.049875621121,0,10.049875621121,11.000000000000,0.094540909231,0.950124378879
euclidean,D4,-10,2,10.198039027186,0,10.198039027186,12.000000000000,0.176696810829,1.801960972814
euclidean,D4,-10,3,10.440306508911,0,10.440306508911,13.000000000000,0.245174170787,2.559693491089
euclidean,D4,-10,4,10.770329614269,0,10.770329614269,14.000000000000,0.299867367239,3.229670385731
euclidean,D4,-10,5,11.180339887499,0,11.180339887499,15.000000000000,0.341640786500,3.819660112501
euclidean,D4,-10,6,11.661903789691,0,11.661903789691,16.000000000000,0.371988681140,4.338096210309
euclidean,D4,-9,-7,11.401754250991,0,11.401754250991,16.000000000000,0.403292830891,4.598245749009
euclidean,D4,-9,-6,10.816653826392,0,10.816653826392,15.000000000000,0.386750490563,4.183346173608
euclidean,D4,-9,-5,10.295630140987,0,10.295630140987,14.000000000000,0.359800207300,3.704369859013
euclidean,D4,-9,-4,9.848857801796,0,9.848857801796,13.000000000000,0.319950014674,3.151142198204
euclidean,D4,-9,-3,9.486832980505,0,9.486832980505,12.000000000000,0.264911064067,2.513167019495
euclidean,D4,-9,-2,9.219544457293,0,9.219544457293,11.000000000000,0.193117518003,1.780455542707
euclidean,D4,-9,-1,9.055385138137,0,9.055385138137,10.000000000000,0.104315260748,0.944614861863
euclidean,D4,-9,0,9.000000000000,0,9.000000000000,9.000000000000,0.000000000000,0.000000000000
euclidean,D4,-9,1,9.055385138137,0,9.055385138137,10.000000000000,0.104315260748,0.944614861863
euclidean,D4,-9,2,9.219544457293,0,9.219544457293,11.000000000000,0.193117518003,1.780455542707
euclidean,D4,-9,3,9.486832980505,0,9.486832980505,12.000000000000,0.264911064067,2.513167019495
euclidean,D4,-9,4,9.848857801796,0,9.848857801796,13.000000000000,0.319950014674,3.151142198204
euclidean,D4,-9,5,10.295630140987,0,10.295630140987,14.000000000000,0.359800207300,3.704369859013
euclidean,D4,-9,6,10.816653826392,0,10.816653826392,15.000000000000,0.386750490563,4.183346173608
euclidean,D4,-9,7,11.401754250991,0,11.401754250991,16.000000000000,0.403292830891,4.598245749009
euclidean,D4,-8,-8,11.313708498985,0,11.313708498985,16.000000000000,0.414213562373,4.686291501015
euclidean,D4,-8,-7,10.630145812735,0,10.630145812735,15.000000000000,0.411081302575,4.369854187265
euclidean,D4,-8,-6,10.000000000000,0,10.000000000000,14.000000000000,0.400000000000,4.000000000000
euclidean,D4,-8,-5,9.433981132057,0,9.433981132057,13.000000000000,0.377997244008,3.566018867943
euclidean,D4,-8,-4,8.944271909999,0,8.944271909999,12.000000000000,0.341640786500,3.055728090001
euclidean,D4,-8,-3,8.544003745318,0,8.544003745318,11.000000000000,0.287452619157,2.455996254682
euclidean,D4,-8,-2,8.246211251235,0,8.246211251235,10.000000000000,0.212678125182,1.753788748765
euclidean,D4,-8,-1,8.062257748299,0,8.062257748299,9.000000000000,0.116312611303,0.937742251701
euclidean,D4,-8,0,8.000000000000,0,8.000000000000,8.000000000000,0.000000000000,0.000000000000
euclidean,D4,-8,1,8.062257748299,0,8.062257748299,9.000000000000,0.116312611303,0.937742251701
euclidean,D4,-8,2,8.246211251235,0,8.246211251235,10.000000000000,0.212678125182,1.753788748765
euclidean,D4,-8,3,8.544003745318,0,8.544003745318,11.000000000000,0.287452619157,2.455996254682
euclidean,D4,-8,4,8.944271909999,0,8.944271909999,12.000000000000,0.341640786500,3.055728090001
euclidean,D4,-8,5,9.433981132057,0,9.433981132057,13.000000000000,0.377997244008,3.566018867943
euclidean,D4,-8,6,10.000000000000,0,10.000000000000,14.000000000000,0.400000000000,4.000000000000
euclidean,D4,-8,7,10.630145812735,0,10.630145812735,15.000000000000,0.411081302575,4.369854187265
euclidean,D4,-8,8,11.313708498985,0,11.313708498985,16.000000000000,0.414213562373,4.686291501015
euclidean,D4,-7,-9,11.401754250991,0,11.401754250991,16.000000000000,0.403292830891,4.598245749009
euclidean,D4,-7,-8,10.630145812735,0,10.630145812735,15.000000000000,0.411081302575,4.369854187265
