goal_id,goal_name,action:weak-Z,action:weak-X,action:weak-Y,pair:weak-Z:0,pair:weak-Z:1,pair:weak-X:0,pair:weak-X:1,pair:weak-Y:0,pair:weak-Y:1,normalized_steps,success_rate
0,wZ0,0.49748743718592964,0.5025125628140703,0.0,0.19597989949748743,0.3015075376884422,0.2964824120603015,0.20603015075376885,0.0,0.0,0.33166666666666667,0.975
1,wX0,0.0,1.0,0.0,0.0,0.0,0.2932330827067669,0.706766917293233,0.0,0.0,0.22166666666666668,0.975
2,wY0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.32,0.68,0.20833333333333334,1.0
3,wZ0_wX0,0.18202764976958524,0.8179723502304147,0.0,0.059907834101382486,0.12211981566820276,0.30414746543778803,0.5138248847926268,0.0,0.0,0.7233333333333333,0.55
4,wX0_wZ0,0.2744479495268139,0.5236593059936908,0.20189274447949526,0.13249211356466878,0.14195583596214512,0.1829652996845426,0.34069400630914826,0.0914826498422713,0.11041009463722397,0.5283333333333333,0.775
5,wZ0_wX0_wY0,0.04736842105263158,0.2543859649122807,0.6982456140350877,0.017543859649122806,0.02982456140350877,0.1368421052631579,0.11754385964912281,0.25263157894736843,0.4456140350877193,0.95,0.175
