action,action_name,outcome,goal_id,goal_name,mean_delta_distance,samples
0,weak-Z,0,0,wZ0,-5.480894630790775,117
0,weak-Z,0,1,wX0,0.04116223001072549,117
0,weak-Z,0,2,wY0,0.1389308709364671,117
0,weak-Z,0,3,wZ0_wX0,-1.1506552533206778,117
0,weak-Z,0,4,wX0_wZ0,-5.261121395306709,117
0,weak-Z,0,5,wZ0_wX0_wY0,-1.0137296497312367,117
0,weak-Z,1,0,wZ0,0.206589412689209,175
0,weak-Z,1,1,wX0,0.0295379638671875,175
0,weak-Z,1,2,wY0,0.0042275810241699215,175
0,weak-Z,1,3,wZ0_wX0,0.011385765075683594,175
0,weak-Z,1,4,wX0_wZ0,0.0450283214024135,175
0,weak-Z,1,5,wZ0_wX0_wY0,-0.03620552062988281,175
1,weak-X,0,0,wZ0,0.3533156895246662,366
1,weak-X,0,1,wX0,-2.210781588580439,366
1,weak-X,0,2,wY0,0.42382463470834203,366
1,weak-X,0,3,wZ0_wX0,-0.0999357791546264,366
1,weak-X,0,4,wX0_wZ0,-0.1447349480592488,366
1,weak-X,0,5,wZ0_wX0_wY0,0.43552918382029715,366
1,weak-X,1,0,wZ0,0.29119794051150666,533
1,weak-X,1,1,wX0,0.32848633610508904,533
1,weak-X,1,2,wY0,0.23505676978077272,533
1,weak-X,1,3,wZ0_wX0,0.2919691293369315,533
1,weak-X,1,4,wX0_wZ0,0.3013971017404524,533
1,weak-X,1,5,wZ0_wX0_wY0,0.2561951900288938,533
2,weak-Y,0,0,wZ0,0.2326557266880089,213
2,weak-Y,0,1,wX0,0.23675520543201428,213
2,weak-Y,0,2,wY0,-3.169099557007982,213
2,weak-Y,0,3,wZ0_wX0,0.2774766913042382,213
2,weak-Y,0,4,wX0_wZ0,0.3253285515476281,213
2,weak-Y,0,5,wZ0_wX0_wY0,0.18842396266023878,213
2,weak-Y,1,0,wZ0,0.18394539445479285,374
2,weak-Y,1,1,wX0,0.1812948696116075,374
2,weak-Y,1,2,wY0,0.20858729969371448,374
2,weak-Y,1,3,wZ0_wX0,0.18260431417169418,374
2,weak-Y,1,4,wX0_wZ0,0.21616279632649957,374
2,weak-Y,1,5,wZ0_wX0_wY0,0.1981515221417269,374
